,tweet
0,"كم رصيد #المخلوع في البنوك كم رصيد جرذان 🐀 #حزب_الاصلاح في البنوك كم رصيد علي محسن الاحمر في البنوك اللهم اجعلها سم على جميع انقلابي ١٩٩٣ و انقلابي ٢٠١٥ عليهم وعلى اطفالهم 
لعن الله الوحدة اليمنية شر لعنه ثروات دولتين نهبت ولازال هولاء بلا طعام منذ ٢٩ سنة لعن الله الوحدة اليمنية https://t.co/n8uQg1hhic"
1,RT @AliAhmadOmran: @najlaasaadee صوت صواريخ المقاومة الشعبية  على رؤوس جرذان أمريكا طرب طرب 🚀🚀💣😍 https://t.co/ztaSn9JI98
2,@Salim_jad_nahdi الله يسامحك يا عامر العولقي ضعطتهم  حتى خرج الوجه الدحباشي لبن جرذان النهدي . ايش مالك ياحجة تدعين عملك اشي عامر  … ابكي ياحجة الدموع تساعد على التخلص من الكبت https://t.co/5CGl63Mc6u
3,@alitiger1239 @AbushabanSuhail @Omar_Madaniah تخسأ وتكذب اهل الاسلام والتوحيد  في سوريا دعسوكم من اول سنتين بسلاحهم الخفيف والبسيط وكان معكم طيران ودبابات وكل جرذان وصهاينة ايران وذهب الفطيس سليماني كباب يلعق حذاء اسياده في تل ابيب وموسكو ليلحقوكم في آخر ايامكم يا  لق. يط ولازلتم ليومنا هذا تختبؤن تحت احذية الروسي وغيره 🤫
4,@HereandHere فعلاً جرذان اسيا لازم تنقرض ، هنود باكستان افغان ايران
5,@mokhtar_rakan @M_N_Albukhaiti شي كهرباء وغاز ومرتبات والا انقلعوا من البلاد خلوا البلاد للرجال الي بيوفروا هاذا الشي انتم جرذان تعيشون علي فتات وسرقات الناس
6,@HHNii30 @Ra1a21 @4wbbx @sh_25_10 جرذان وجرذات البلد قصدك عادي م اتأثر بكلام ناس قليلين قيمه وعلم
7,جرذان الإعلام السامسونجي. https://t.co/QzqPmA8v4T
8,"@mzvadi @freezeomelette واللي ما عندوش الدار أصلا 😂✋🏻
لو التوانسة داروا النفس لانقرض جرذان فرنسا."
9,RT @Iamthebadguy90s: جرذان وحشرات بشرية ويتكاثرون تكاثر مخيف ويتغذون على اقتصادات العالم خارج بقعتهم الجغرافية القذرة
10,@halgawi جرذان البلاعات القذرة
11,"@mstl70812108 @M_B_H_N والتراشق بالطيران والصواريخ على رؤس الممانعين من سوريا إلى أصفهان من إسرائيل
وقنص جرذان الملالي من علماء وجنرالات 
متفق علية مسبقا بينهم"
12,"الخلاصة عنا اتعس نخب.
دينهم فلوس و طحين. يبيعو بلاد بالفلوس لا قيم لا أخلاق لا اوراق.
تونس بلاش بيكم خير. 
نبقى بطال طول عمري و لا تحكمونا انتم يا جرذان.
لا رجوع الى الوراء."
13,RT @AliAhmadOmran: @najlaasaadee صوت صواريخ المقاومة الشعبية  على رؤوس جرذان أمريكا طرب طرب 🚀🚀💣😍 https://t.co/ztaSn9JI98
14,@BAlsyfw @SAMALRAH17 @Rahmon83 أكيد اننا لا نريد جرذان قطع الرؤوس خاصة ان ممتلكاتهم اصبحت بحوزتنا بعد التنكيل بهم وتهجيرهم. اما المناطق المحتلة فنعرف حالتها الكارثية (قتل، سرقة، خطف، سبي، اشتباكات وخوات) من خلال الدخول على صفحاتكم. والله ما في اجمل من التمتع بالتخلص منكم. تصور: بلاد بأكملها خالية من الجرذان.😉
15,"@tmrrah9 يفكونا من جرذان الفرس وحنا بخير 
الله يعجلبه 
ماجانا منهم الا المصايب الله يبيدهم"
16,"@nommani1 قد تمكنت مكنوها الاوباش والبياعين لكنها ما لبثت أن زأرت الأسود فهربت الضباع. 
   صمتا فقد نطق الرصاص وسالت الدماء وأحمرت الصحراء واهتزت الجبال لأن في فجاجها عمالقة لايقف امامهم جرذان الحوثي ولا ثعابين الاخونج"
17,RT @AJArabic: العاصمة الفرنسية تعيش وضعا مختلفا للغاية حيث المظاهرات والاحتجاجات والنيران والإضرابات والقمامة.. فما أسباب النار المشتعلة في…
18,لهذا علينا واجب وطني طرد الاحتلال اليمني المشرد في وطني #الجنوب_العربي هذا الجيش يجتمع حوله جرذان 🐀 #القاعدة و #الحوثي لهذا علينا طرده مع ركله قوية شديدة من الخلف صوب وطنه #اليمن #yemen الشقيق الصغير اذا بيعمل مشاكل بعيد عنا وفي وطنه هناك اما مشرد خائف جرذ 🐀 ويعمل مشاكل عيب هذا https://t.co/1YORnNvW6S
19,"RT @yaa_Ali_md: @shakirdadah11 
ببالغ الاسى والحزن نعزي اخينا الحاج المجاهد علي شكري
باستشهاد اخيه البطل المغوار محمود شكري الذي سطر اروع ا…"
20,RT @nadosh_ddd: @greyhair02 صج انحبسو في بيوتكم لين الفطور طلعو جنكم جرذان😅
21,@greyhair02 صج انحبسو في بيوتكم لين الفطور طلعو جنكم جرذان😅
22,@hend2d2 @MoaadSaddik @Columbuos جرذان؟ ليش الغلط طيب
23,"RT @SalimAmmar15: لماذا سينتصر العرب على مؤامرة الربيع العربي و سيبقى المراركة جهلة أغبياء الى أبد الأبدين؟
صحيفة العربي الجديد الممولة بسخ…"
24,RT @AliAhmadOmran: @najlaasaadee صوت صواريخ المقاومة الشعبية  على رؤوس جرذان أمريكا طرب طرب 🚀🚀💣😍 https://t.co/ztaSn9JI98
25,@hussinalezzi5 رتوش الحروف والكلمات المنمقة والمنتقاة لا يغطي جرائمكم .. انتم قتلة والشعب بغران يا جرذان مران .،،
26,@Omar_almolhem @kuwarimud روحو لمو فطايسكم من الفوج 46 اثنان منا قتلو كتيبة منكم حاجتكم هياط فأنتم اوهن من خيط العنكبوت والقادم اعظم انتظرو منا المزيد يا جرذان ابو حافر
27,@AlhdhyfyRdad يرحلوا من اب غيير ماسوف عليهم وانت معهم عطف يرجعون جرذان الكهف الي كهفهم
28,RT @AliAhmadOmran: @najlaasaadee صوت صواريخ المقاومة الشعبية  على رؤوس جرذان أمريكا طرب طرب 🚀🚀💣😍 https://t.co/ztaSn9JI98
29,RT @AliAhmadOmran: @najlaasaadee صوت صواريخ المقاومة الشعبية  على رؤوس جرذان أمريكا طرب طرب 🚀🚀💣😍 https://t.co/ztaSn9JI98
30,@najlaasaadee صوت صواريخ المقاومة الشعبية  على رؤوس جرذان أمريكا طرب طرب 🚀🚀💣😍 https://t.co/ztaSn9JI98
31,@TheSaudi_post نتمنى حتى تصد جرذان طهران عن ارض الحرمين
32,RT @AJArabic: العاصمة الفرنسية تعيش وضعا مختلفا للغاية حيث المظاهرات والاحتجاجات والنيران والإضرابات والقمامة.. فما أسباب النار المشتعلة في…
33,"@fahadlghofaili حتى الشياطين ومردة الجن تصفد في رمضان..وانتم يا جرذان الدوحة اصابكم السعار خلال هذا الشهر الكريم..
اللهم لا شماته.."
34,@dawoodalbasri3 جُرذان 🐀🐀🐀🐀🐀🐀🐀🐀🐀🐀🐀🐀🐀🐀🐀🐀🐀🐀🐀🐀🐀🐀المال أين ما وجد لهثوا وراءه
35,@noorof___ الى جهنم جرذان 🐀 داعش
36,@Octo25HH1 وشكو فتح الميوت اذا هيج زاعجته هو انطي بلوك ..جرذان تويتر تلگيهم نايمين بكل حساب
37,@TurkiShalhoub بن سلمان سيدكم وتاج على رؤسكم يا جرذان شرق سلوى.. https://t.co/SXg4LQUNpX
38,@9iill7_ @ANMOBU0 5 ميدالية زرقاء اوفررررر صعوبة قتل 3 جرذان مستحيللللل اسويها 😔
39,جرذان وحشرات بشرية ويتكاثرون تكاثر مخيف ويتغذون على اقتصادات العالم خارج بقعتهم الجغرافية القذرة https://t.co/HrEuYmod5T
40,@ali85farhan اسود على الفقراء جرذان مع الطبقة المخملية اللصوصية
41,"@MeirMasri والله بجاحتك أنت فاقة كل بجاحات العالم؟
ما من احد إلا ويعلم سبب بغضكم لهذا الأسد الذي جعلكم جرذان تهرولون إلى الملاجئ. ٣٩ صروخ جعلكم بها تبكون كالصرارير..

الرجل الذي ارعبكم
تتكلم عن مجازر فعلها
ونسيتم اووتناسيتم دير ياسين وقانا ومحمد الدرة وغزة 
لايوجد احد فعل محازر مثلكم.
إخرس؟"
42,"RT @6ta37: #عگال_العز_الشرف
عقدة النقص والحقد والنفاق والدونيةعند اتباع البزاز لانهايةلها حيث نراهم في كل سنةيحاولون طمس هويةأهل الوسط والج…"
43,كأنه مشهد من فيلم رعب.. جرذان بحجم قطط تتسكع بين الناس https://t.co/W8f6voigaf
44,@Naddyya666 شكرا داعش لأنك عجلت بنهاية جرذان التفوليزاريو وإعلانهم تنظيم إرهابي هههههه
45,@medElazrak74 @hureyaksa سجونكم زحمة جرذان ولا اي شي يرمز للحياه
46,"RT @SalimAmmar15: لماذا سينتصر العرب على مؤامرة الربيع العربي و سيبقى المراركة جهلة أغبياء الى أبد الأبدين؟
صحيفة العربي الجديد الممولة بسخ…"
47,"اكو ادبسيز لوغية بالعالم بس عند الله خبرها‼️
داعش جرذان مجاري اقتلوهم حيث ثقفتوموهم ما عند اي عراقي ماصل مصنصل مشكلة
.
لكن ان تضربكم فصائل تحارب داعش وياكم (وتدگكم من ورة) وانتم تصيحون داعش !!!!!
فهذه فعلا من مهازل التاريخ
.
اشهد يا تاريخ اننا لسنا مغفلين لكن المؤامرة كبيرة !! https://t.co/blmbKUlAEP"
48,"RT @FthULmecykIAGMY: كل ما يقوله ابواق جرذان العدوان بشأن تسييسهم لقضية المكحل 
ونسبهم سبب موته للانصار كذذذذذب
اسمعوا ماذا قال المكحل عن ا…"
49,"#عگال_العز_الشرف
عقدة النقص والحقد والنفاق والدونيةعند اتباع البزاز لانهايةلها حيث نراهم في كل سنةيحاولون طمس هويةأهل الوسط والجنوب واظهارهم بشكل غير مؤدب ومضطرب ويطعنون بالقيم والمبادئ ليغطي على مساوء وعورات أسياده جرذان العوجة هذا غير صحيح اهل الجنوب اهل الكرم والشرف https://t.co/dhM35B5U5j"
50,RT @AJArabic: العاصمة الفرنسية تعيش وضعا مختلفا للغاية حيث المظاهرات والاحتجاجات والنيران والإضرابات والقمامة.. فما أسباب النار المشتعلة في…
51,@RiyadhAldubai @OSE_Yemen لعنت الله عليكم يا جرذان شغلتون على المكحل هذا
52,جرذان وقمامة ومتظاهرون غاضبون في #فرنسا https://t.co/WE1ucp6XHD
53,RT @AJArabic: العاصمة الفرنسية تعيش وضعا مختلفا للغاية حيث المظاهرات والاحتجاجات والنيران والإضرابات والقمامة.. فما أسباب النار المشتعلة في…
54,RT @AJArabic: العاصمة الفرنسية تعيش وضعا مختلفا للغاية حيث المظاهرات والاحتجاجات والنيران والإضرابات والقمامة.. فما أسباب النار المشتعلة في…
55,"AJArabic: العاصمة الفرنسية تعيش وضعا مختلفا للغاية حيث المظاهرات والاحتجاجات والنيران والإضرابات والقمامة.. فما أسباب النار المشتعلة في #باريس؟

https://t.co/ewJZs8Lc9W"
56,RT @AJArabic: العاصمة الفرنسية تعيش وضعا مختلفا للغاية حيث المظاهرات والاحتجاجات والنيران والإضرابات والقمامة.. فما أسباب النار المشتعلة في…
57,"العاصمة الفرنسية تعيش وضعا مختلفا للغاية حيث المظاهرات والاحتجاجات والنيران والإضرابات والقمامة.. فما أسباب النار المشتعلة في #باريس؟

https://t.co/jZkawNiye7"
58,"كل ما يقوله ابواق جرذان العدوان بشأن تسييسهم لقضية المكحل 
ونسبهم سبب موته للانصار كذذذذذب
اسمعوا ماذا قال المكحل عن الانصار 
بعد ان تم اطلاق صراحه من سجنه في قضية سبقت قضيته الاخيرة التي اراد فيها الهرب من السجن ومات فيها متأثرآ باصابته نتيجة قفزه من فوق سور السجن https://t.co/xTVjiCTviA"
59,"RT @SalimAmmar15: لماذا سينتصر العرب على مؤامرة الربيع العربي و سيبقى المراركة جهلة أغبياء الى أبد الأبدين؟
صحيفة العربي الجديد الممولة بسخ…"
60,"#قروب_سي
الخوانة نهاية هم آتية و كل الناس يجب تخذ الحذر منهم فتنة قرن الشيطان و الريات السود
هذول هم أحفاد أصحاب الفيل
هذول هم الشر في جزيرة العرب و اختباء هم
في دول الخليج جرذان أبرهة الأشرم و بقاية
عبيد الأمريكان و مخابرات هم احذروهم https://t.co/fYx0L8aspo"
61,"#قطر_ترحب_بمحمد_ناصر
الخوانة نهاية هم آتية و كل الناس يجب تخذ الحذر منهم فتنة قرن الشيطان و الريات السود
هذول هم أحفاد أصحاب الفيل
هذول هم الشر في جزيرة العرب و اختباء هم
في دول الخليج جرذان أبرهة الأشرم و بقاية
عبيد الأمريكان و مخابرات هم احذروهم https://t.co/5wUuR5I5YY"
62,"#في_حب_مكة
الخوانة نهاية هم آتية و كل الناس يجب تخذ الحذر منهم فتنة قرن الشيطان و الريات السود
هذول هم أحفاد أصحاب الفيل
هذول هم الشر في جزيرة العرب و اختباء هم
في دول الخليج جرذان أبرهة الأشرم و بقاية
عبيد الأمريكان و مخابرات هم احذروهم https://t.co/COjU3KwBtU"
63,"#العثيم_مول
الخوانة نهاية هم آتية و كل الناس يجب تخذ الحذر منهم فتنة قرن الشيطان و الريات السود
هذول هم أحفاد أصحاب الفيل
هذول هم الشر في جزيرة العرب و اختباء هم
في دول الخليج جرذان أبرهة الأشرم و بقاية
عبيد الأمريكان و مخابرات هم احذروهم https://t.co/i1Dfm5OLPq"
64,"RT @SalimAmmar15: لماذا سينتصر العرب على مؤامرة الربيع العربي و سيبقى المراركة جهلة أغبياء الى أبد الأبدين؟
صحيفة العربي الجديد الممولة بسخ…"
65,"RT @SalimAmmar15: لماذا سينتصر العرب على مؤامرة الربيع العربي و سيبقى المراركة جهلة أغبياء الى أبد الأبدين؟
صحيفة العربي الجديد الممولة بسخ…"
66,"RT @SalimAmmar15: لماذا سينتصر العرب على مؤامرة الربيع العربي و سيبقى المراركة جهلة أغبياء الى أبد الأبدين؟
صحيفة العربي الجديد الممولة بسخ…"
67,"RT @SalimAmmar15: لماذا سينتصر العرب على مؤامرة الربيع العربي و سيبقى المراركة جهلة أغبياء الى أبد الأبدين؟
صحيفة العربي الجديد الممولة بسخ…"
68,"لماذا سينتصر العرب على مؤامرة الربيع العربي و سيبقى المراركة جهلة أغبياء الى أبد الأبدين؟
صحيفة العربي الجديد الممولة بسخاء من قطر و التي يديرها عضو الكنيست السابق عزمي بشارة و جرذان الاخونج المصريين وكثير من حثالات المروك نشرت هذا الخبر:
اعتقال مؤسس العملة المشفرة ""تيرا"" الملاحق… https://t.co/HPId6mRUlD https://t.co/zi8ZUS9bzU"
69,"RT @yaa_Ali_md: @shakirdadah11 
ببالغ الاسى والحزن نعزي اخينا الحاج المجاهد علي شكري
باستشهاد اخيه البطل المغوار محمود شكري الذي سطر اروع ا…"
70,@Tripolitania_01 فارس 😂😂😂😂😂 هذا إثمه وذنبه في رقابيقم هو وحملة المغرر بهم واستفحلوا وأصبحوا جرذان بامتياز . ذكرى عاركم وبلادكم اللي بعتوها للشيطان مجانا
71,@AhmadDaoud14 @XMDriencourt و لقد شهادنا كذلك جرذان تخرج و تتظاهر...
72,ايامي بمارش هذا زي قصة الرجال اللي كان يهرب من وحش وطاح من الجرف ،ف تعلق بغصن وطلع تحته وحش ينتظره يطيح، وجت جرذان  تعض الغصن ،بس لقى نقط عسل بالغصن اللي متعلق فيه وقعد يلحسه
73,@Manasataliraq والله العظيم. كلهم جرذان امام الله والوطن والحق لاترى منهم احدا.  عند قولة الحق. كافي همبله. تره كلها لنعرفهم. واحد واحد نشاله ومأبو نيين شنو هاي. ارانب 😂
74,@Ahmedmosibly لقد أصبح جرذان العملاقه بفضل الله ورجال الله
75,"@Balady_CS @balady_gov يا سيدي الفاضل لانريد لغه الارقام 
نريد لغه تنفيذ بشكل صحيح ✅ 
أرض الواقع تثبت كلامي تعالو انظرو إلى  احياء ضاحية الملك فهد غرب الدمام 
انظرو إلى مستنقعات 
إلى كلاب ضاله عزكم الله 
ناقلات الامراض 
جرذان غيرها ما الله بها عليم"
76,@hodajannat ما هذا الهراء ؟! كيف يعقل ان تكون سيادة و إدارة البر للمغرب و تكون إدارة الجو لبلد اخر ؟! هادي ماكاينا في حتى بلاصة. هذه مجرد اساطير ينسجها اعداء المغرب لزرع البلبلة. لو كان السيادة للاسبان كيف يقصف المغرب جرذان البولي زيرو يوميا ؟!
77,"باريس تحولت من مدينة الأنوار إلى عاصمة النفايات بأوروبا و كل هذا بفضل ماكرون الذي يرى أن دعم اوكرانيا أهم من توفير لقمة العيش الكريم لشعبه.

https://t.co/bWUL7w1m6B"
78,"@saleh_binali موتوا بغيظكم فعلمنا يشهد له القاصي والداني وحفظ الله به وبرجاله اليمن من جرذان التحالف الذي انت واحد منها
فمن قدوتك ايها المرتزق تكلم"
