,tweet
0,@pianoghasoul @Msaidouafi المشكل راكم مشكم رجال وان من ساكن على حدود بشار على بعد عشرين كلم يالعياشة راكم طولتو باه نحلكم السروال ونذربولكم واحد الحاج بعد لفطور نقلهالك يا طحان الرجل راه يفعل على الوقع مش زي المعز على العام وهوا يبعبع و يلون الخرائط يا أنذال راه يحكي معاك حفيد من شهداء الأبرار
1,RT @jem181966111: من هام وشاهه.  الشيخ طحان. #رمضان_٢٠٢٣..#التلفزيون_الأردني ٩ مساء  وعلى منصه Viu مجانا. على وقتك.   وجزيل الشكر ل  ( مواد…
2,@anbi_abderrahim شعب طحان 🇲🇦 ومشي غير فرحان شابع فرحة 👏👏
3,@SabqpressAlg طحان و عاهرة.
4,@duf_7 طحان
5,@duf_7 @AhdafCompany طحان
6,@Iwasaking1986 @ZouhairRguig 😂😂اي طحان هلبه
7,RT @D75hnk: الصوت طاع من غرفة امك.. 🔥🫣🤫اسمع. وسكت يا طحان https://t.co/J7RJ2vNJnl
8,RT @D75hnk: This is your mother 🔥😍🤫امك يا طحان https://t.co/ieM4ynQA3g
9,@Adel_berber2022 @AlarabyTV المهم انك طحان وفرحان واش طلقوا لك الماء باه تخرا
10,@Lamio_2307 @AlarabyTV هههههه طحان وفرحان
11,@Salmaa93710329 طحان وفرحان
12,"@Aziz7amad محاضره بعنوان... 
هبدات القريحه
لتغطية الفضيحه
القاء طحان الكلام 
المشكله وش يغطي وش يكشف
راجع لقدام.. بيبلوبس شاهي ابو جبل
فيكتوريا جوليبانو
ابو زنيفر احتجاجات يفرفر بالسكوتر يخترع قضايا للخلق والحلو انه يكسب قضايا وهو يدفع وينقها
و طحان جالس يصفصف كلام
الضعوف ضعوف"
13,RT @chikoralolo: واحد طحان راكب مورايا فالبس🚌 لسقني ملور وكل فران ولا دودانا يتحكك 😓🥵😵 https://t.co/m03lMLHTo5
14,RT @D75hnk: هذا هو الفن الاباحي العربي يا طحان  🍑💪🏿🔥يماك تموت علي زب من لوور https://t.co/snA0AoewXh
15,الف سلامة عليكي يا شيرو و ربنا يشفيكى و يارب تقومى بالسلامة ادعو لشيرين طحان بجد هى تعبانة اوى و محتاجة دعواتكم❤️❤️❤️🤲🏻🤲🏻🤲🏻🤲🏻 https://t.co/PpqrCbh9KL
16,@sameh_b مو حاشم، طحان سيدو و سيد سيدو. خايف يزلق بكلمة يلقى روحو في حبس تازمامرت
17,@HelaM55 طحان خوانجية و زعمة زعمة ديمقراطي و تعددي و راس لنبوط
18,RT @Fatertn: يا برو راهو كي تسكر زبورم الإدارة من 10:30 قال شنية اول جمعة في رمضان و ماشي تشد بلاصة في الصف لول في صلاة الجمعة راك تتسمى فا…
19,RT @D75hnk: احح امك القحبة خبيرة تع رضيع تفرج يا طحان.  🔥🤫😈💪🏿وتمتع بيها... في صمت https://t.co/9xmLYiFNjD
20,RT @D75hnk: هذا هو الفن الاباحي العربي يا طحان  🍑💪🏿🔥يماك تموت علي زب من لوور https://t.co/snA0AoewXh
21,يا برو راهو كي تسكر زبورم الإدارة من 10:30 قال شنية اول جمعة في رمضان و ماشي تشد بلاصة في الصف لول في صلاة الجمعة راك تتسمى فاطر و طحّان
22,@arfouchlahcen @Benguennak 😂😂😂😂 طحان و فرحان، في 2023 و مازاله مُستعمَر
23,@NMalainin طحان وفرحان
24,RT @jem181966111: من هام وشاهه.  الشيخ طحان. #رمضان_٢٠٢٣..#التلفزيون_الأردني ٩ مساء  وعلى منصه Viu مجانا. على وقتك.   وجزيل الشكر ل  ( مواد…
25,@ahafsidz طحان
26,RT @jem181966111: من هام وشاهه.  الشيخ طحان. #رمضان_٢٠٢٣..#التلفزيون_الأردني ٩ مساء  وعلى منصه Viu مجانا. على وقتك.   وجزيل الشكر ل  ( مواد…
27,"RT @miny_dz: انا نياكة ونموت على زب نجيك هكدا غي اهرب نشفك بب #رتويت ادا تقدر عليا 🔥
ادا ماتقدرش تفرج على رجال وبنيط يا طحان https://t.co/b…"
28,@NoussourTN طحان
29,@Magedabdelnour1 يا عزيزي يا طحان باشا ، الحكام فريق و الشعوب فريق
30,RT @jem181966111: من هام وشاهه.  الشيخ طحان. #رمضان_٢٠٢٣..#التلفزيون_الأردني ٩ مساء  وعلى منصه Viu مجانا. على وقتك.   وجزيل الشكر ل  ( مواد…
31,RT @jem181966111: من هام وشاهه.  الشيخ طحان. #رمضان_٢٠٢٣..#التلفزيون_الأردني ٩ مساء  وعلى منصه Viu مجانا. على وقتك.   وجزيل الشكر ل  ( مواد…
32,RT @jem181966111: من هام وشاهه.  الشيخ طحان. #رمضان_٢٠٢٣..#التلفزيون_الأردني ٩ مساء  وعلى منصه Viu مجانا. على وقتك.   وجزيل الشكر ل  ( مواد…
33,RT @jem181966111: من هام وشاهه.  الشيخ طحان. #رمضان_٢٠٢٣..#التلفزيون_الأردني ٩ مساء  وعلى منصه Viu مجانا. على وقتك.   وجزيل الشكر ل  ( مواد…
34,#صحيتك_يا_طحان https://t.co/Of22C9iKT8
35,RT @jem181966111: من هام وشاهه.  الشيخ طحان. #رمضان_٢٠٢٣..#التلفزيون_الأردني ٩ مساء  وعلى منصه Viu مجانا. على وقتك.   وجزيل الشكر ل  ( مواد…
36,RT @jem181966111: من هام وشاهه.  الشيخ طحان. #رمضان_٢٠٢٣..#التلفزيون_الأردني ٩ مساء  وعلى منصه Viu مجانا. على وقتك.   وجزيل الشكر ل  ( مواد…
37,RT @jem181966111: من هام وشاهه.  الشيخ طحان. #رمضان_٢٠٢٣..#التلفزيون_الأردني ٩ مساء  وعلى منصه Viu مجانا. على وقتك.   وجزيل الشكر ل  ( مواد…
38,RT @jem181966111: من هام وشاهه.  الشيخ طحان. #رمضان_٢٠٢٣..#التلفزيون_الأردني ٩ مساء  وعلى منصه Viu مجانا. على وقتك.   وجزيل الشكر ل  ( مواد…
39,RT @jem181966111: من هام وشاهه.  الشيخ طحان. #رمضان_٢٠٢٣..#التلفزيون_الأردني ٩ مساء  وعلى منصه Viu مجانا. على وقتك.   وجزيل الشكر ل  ( مواد…
40,@oualido راك فرحان يا طحان
