,tweet
0,"سمعت واحده بتقول على واحد بيحبها أنه شخصيته حلوه ولبسه مهندس بس ملامحه عاديه ومناخيره كبيره ومش وسيم
ومن ساعتها و… — صحبي كل فولة وليها كيال و معاير الوسامة مختلفة من شخص لتاني زي ما احنا برضو كشباب بنصنف بنت جميلة وبنت مش جميلة والحلوة عندي وحشة عندك … https://t.co/CbhuYmBbcH"
1,@abulfazlbakhshi خدا گردن گیریش فوله بزرگوار
2,"RT @fahad33931: شهر   الصيام  اللي  تحراه  العباد 
ترقب      هلاله    فوله.   وواخره 

ازداد من طاعتك في  هالشهر زاد 
ابعد  عن   الدنيا   ع…"
3,"@_Ghazaaal نه، تگری فوله:))
من هرگز تگری نزدم.
در واقع یه مرز باریکی بین مستی و سرخوشی، گم کردن زمان و مکان و تگری هست. قدم زدن در اون مرز باریک هنر مردان خداست :))"
4,@Nkt_767 كرتون فوله
5,@Rslaan_q حرام بالله تقول فوله وانقسمت نصين هههههههههههههههههههههههههههههههههههههههههههههههههههههههههه
6,@3m__1 فوله
7,@eshraq_6 وش فوله
8,@WAl5ier10 @m7md3laaaa فايتاك فوله مبالغه
9,"@L0Oo0Oolll قوليله ""كل فولة و ليها كيالها ،،و رزق الحلال يزيد،،،و الفاضي يذكر الله"""
10,@sdoo_999 فوله واتقسمت كارلوسين https://t.co/gTNMh1jsKg
11,@Nesrine32669400 اكديلي على فولة و ماتقسمتش على زوج 😂😂😂
12,@SouihatKhaled فولة بصح ما مقسمتش
13,@il6forinflam واقعا اون حس گادس دادن همونقد فوله که اون تخریب کردنه، بنظرم زمانی که طرف ی ترکیب منطقی ازین دوتارو باهات داره بهترین حالته.
14,@rub2yw فوله
15,با تو درگیری فوله باید تو رو ماچ کرد https://t.co/4UzJhAEMbh
16,@is_benwhab @19l1e فولة واتقسمت نصين
17,@barana_2010 @hesam_marzban @nirvana9233 @shimasshii @adll____ @Ramiz55978323 @aref_moradi1370 @N_I_K_I_T_A_A_ @Eisa_Boroshan @AmuSibiloo @banou_queen @AE_ilMio @Hossein_68_38 @AliiE_Reza @pyke6633 @mohamad8_m7 @mar____jan لیستی که من توش نباشم، فوله
18,@eyad_looord فوله و اتقسمت نصين ♥️
19,"RT @fahad33931: شهر   الصيام  اللي  تحراه  العباد 
ترقب      هلاله    فوله.   وواخره 

ازداد من طاعتك في  هالشهر زاد 
ابعد  عن   الدنيا   ع…"
20,"شهر   الصيام  اللي  تحراه  العباد 
ترقب      هلاله    فوله.   وواخره 

ازداد من طاعتك في  هالشهر زاد 
ابعد  عن   الدنيا   عشان  الآخره"
21,"التنين و القيصر 
رأي واحد 
مظهر واحد 
رؤيه واحده 
راعيني و أراعيك
من الآخر كده فوله و أتقسمت نصين https://t.co/xwMRZuiKpe"
22,"RT @fahad33931: شهر   الصيام  اللي  تحراه  العباد 
ترقب      هلاله    فوله.   وواخره 

ازداد من طاعتك في  هالشهر زاد 
ابعد  عن   الدنيا   ع…"
23,"شهر   الصيام  اللي  تحراه  العباد 
ترقب      هلاله    فوله.   وواخره 

ازداد من طاعتك في  هالشهر زاد 
ابعد  عن   الدنيا   عشان  الإخره

#ماجد_النقريني
 #شهر_رمضان_المبارك
#هلال_الشهر_الكريم"
24,"@D_modaresian و لا تجسسوا ...
دیگه تا حد لایکای طرف تجسس کردن برای زدنش خیلی فوله خدایی ..."
25,@ElNennY مصري فوله مش معقوله هههه
26,كيف نشتت النصر ولاعبين النصر ويخرج من الموسم بلا حمّص ولا فولة؟!😎 https://t.co/ThGFbw5qTk
27,@ltermehl شاید داره تمرین زبان میکنه...چون سیمبا هم ی وقتایی خیلی حرف میزنه...الان فرانسه و فارسی و انگلیسی و اسپانیش فوله
28,@negar1_janm ولا کونشم گذاشته باشی بازم این حرکت فوله
29,@ltsniloo خیلی فوله 🥲🤦🏻‍♂️
30,"@A_altantawy79 ونا الل كنت بحسب نفسي عارف سر من اسرار الدوله وعارف انها مسرحيه...
للاسف طلعت مصر كلها عارفه...
شعب ميتبلش ف بؤه فوله"
31,@Farehe1988 فوله فوله این
32,"ياست يعني ازم يعني تفكريني اني صايم؟ مانا كنت هشرب وهعمل قهوه.
ستات مش بيتبل في بوقها فوله."
33,"@Melikhmd آخ آخ
خیلی فوله، خدا کنه سوتی ندی"
34,@lhelliishl قبول نیست فوله باید بدون سوتین باشه🤣
35,"@ilgar1086 این که اون آدم نیتش چیه و لحنش درسته یا نه رو کار ندارم چون اطلاعات کافی برای قضاوتش ندارم
اونجایی که از لیاقت صحبت میمنه واقعا به نظرم فوله
اینو فاکتور بگیریم حرفاش غلط نیست
اگه جهان مدرن رو انتخاب می‌کنیم باید با قانونای اون پیش بریم اگه سنتی دل‌انگیزتره باید همه چیشو بپذیریم"
36,"@el_bors يبقى أنا فهمت غلط
مش انت بتعاني من القشر ومش عاوز تحس بيه؟
لو عاوزه فولة فولة كتر الماية"
37,فوله 🌸🌸🌸🌹🌺💘🌸🌷🌷
38,"@daliaref3at 🙏
ولو بحب اكلو فولة فولة؟"
39,"@Jingolparisa خیلی توصیه خوبیه اتفاقا. من به همه همین توصیه رو میکنم. مخصوصا اگه اوضاع برای کسی سخت شده باشه میگم شل کن اولش درد داره بعد عادت میکنی.
اون یکی دوستت هم بعضیا دنیاشون کوچیکه دیگه. تقصیر خودشونم نیس اینجوری بزرگ شدن اما اینکه میاد به دیگران هم توصیه میکنه راه اونو برن یخرده فوله"
40,@negar1_janm چقد دوس پسرت فوله
41,"@josi_lf الله يرحمك يا ستي كانت تقول""كل فولة والها كيال اعمى""😂"
