,tweet
0,"‘I have a theory about what happened to America in this regard. After 9/11, people were scared, and they fell for a succession of propaganda campaigns convincing them that the hole in Fortress America, the chink in our national armor, was our system of democratic rights.’ -Matt… https://t.co/W83FA250zj"
1,"RT @SGShades: Ramming @Qos_Kali's sopping wet chink cunt on stage while beating up all her angry simps. 💅

It's disgusting you even thought…"
2,"RT @SGShades: Ramming @Qos_Kali's sopping wet chink cunt on stage while beating up all her angry simps. 💅

It's disgusting you even thought…"
3,@AFC_HARDEN @ANTH0NYD4VlS @SeIIAwb @MindOfMitoma chink
4,"RT @SGShades: Ramming @Qos_Kali's sopping wet chink cunt on stage while beating up all her angry simps. 💅

It's disgusting you even thought…"
5,"RT @AussieWhtMaster: White King: ''Tell me what you want.''
Chink: *girly voice* ''I want your seeeeeeed'' 

Of course you do. Hopefully it…"
6,RT @gayasiankink69: Bwc can convert any chink to be a bottom 🤤
7,@sneako Nigger chink worshipping Arabs
8,@jaydenncnn bro this chink keeps on growing
9,"@gayusolalekan1 Since Na baddo the barber sing am cum remove am
Rema&gt;&gt;&gt;&gt;&gt;Olamide,fireboy, Asake including the former signing Adekunle gold,lilkesh,lyta,chink,blaz,pica"
10,"My family owned 1,000 slaves and profited from the trade: this is how I am trying to make amends &lt; A rare chink of light in dark times: power taking responsibility &amp; attempting to repair the damage caused by its abuses. #slavery #reparations  https://t.co/MesLjFfKPv"
11,"RT @BleachedBxnny: The fat chink gets mercilessly pounded as her dumb, bimbo friend toys with her pretty pink cunt, her mind filled with th…"
12,"RT @GeoffYoung4KY: A great essay by Matt Taibbi:
""I have a theory about what happened to America in this regard. After 9/11, people were sc…"
13,all cause of mf asian chink at cabo
14,"RT @BTPakistan: 10. 

So, a chink in the Armour of these large UAVs was finally found. They were vulnerable in the air space where the host…"
15,@FightHaven She lost it but I doubt she just started following them she said he called her a chink then she probably snapped and he started recording ...if she did it for no reason then ya she absolutely insane
16,"Ramming @Qos_Kali's sopping wet chink cunt on stage while beating up all her angry simps. 💅

It's disgusting you even thought you stood a chance. JUST SPEND MORE MONEY ON TICKETS LIKE A GOOD ATM DOES! https://t.co/1RaLCyf9cX"
17,"RT @SGShades: 📲 ""Yo @Qos_Kali, get that CHINK ass over to my dorm room after classes. Need my balls drained before we go on another mission…"
18,"RT @Spotlight_Abby: Just one question from Rufai and Ayo Fayose's chink was shattered. It's the inconsistencies in his words, for me. I cri…"
19,@SouthlandPost Ok so he called her chink and she said the n word. They deserve each other.
20,"@NotWhisp @MoistenedTart @ThePosieParker I get the feeling pride will turn into a riot from now on, the so called allies have put a chink in the armour and even real trans women, gay men and lesbians are afraid for their lives by the very people who pretend to be supporters, this has gone way beyond control of women."
21,RT @TheAlphaBWC: chink pet confession #wmaf #bwc4asians #RaceTraitor #raceplay #asianslave #chinese #korean #koreangirl https://t.co/VR6aod…
22,I doubt that very much chink wh0r3 https://t.co/TMnHgB0wEn
23,RT @Silverbwc: The best attribute a chink has is how submissive she is and better yet how willing she is to make a white man happy. #wmaf #…
24,@kyedae this is what you get for shiting on me on val ur gonna die 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂i got the last laugh u chink
25,RT @gayasiankink69: Bwc can convert any chink to be a bottom 🤤
26,RT @Silverbwc: The best attribute a chink has is how submissive she is and better yet how willing she is to make a white man happy. #wmaf #…
