,tweet
0,RT @AFRO_CUCK: “Look at your respectable little son getting respected by nigger cocks. You raised him so good #Gaycuck… What?  You want som…
1,"RT @UltraDane: 3.24.21 Ryan Decker was shot in the face. Ryan was asked to wear a mask in a store, so he went outside to get 1 &amp; accidental…"
2,RT @NYCRaceplayNig: I’d give anything to be a white man’s owned nigger (or nigger bitch) 😩
3,@Nature_and_Race The only safe nigger is one that’s dead or locked up.
4,"RT @UltraDane: 3.24.21 Ryan Decker was shot in the face. Ryan was asked to wear a mask in a store, so he went outside to get 1 &amp; accidental…"
5,"RT @UltraDane: 3.24.21 Ryan Decker was shot in the face. Ryan was asked to wear a mask in a store, so he went outside to get 1 &amp; accidental…"
6,basically what schopenhauer saar said... people here with V1 on bio are literal 82iq niggges so much so im convinced i cant discern you from a dalit  brahmin or a nigger https://t.co/k93JvX6bkC
7,@TrevorrKhumalo What happened to valuing yourself more nigger?
8,@fixondennis Now derrr we all go do the Rasta some ooo herh my close nigger they bang like 3 black Americans and 2 white women chale they’ve been sponsoring him for about 8yrs now
9,"@change_1000 @uNkulu_M @AdvoBarryRoux No, he's saying ""some of these Nigger's mothers have been in my sheets""..."
10,"RT @UltraDane: 3.24.21 Ryan Decker was shot in the face. Ryan was asked to wear a mask in a store, so he went outside to get 1 &amp; accidental…"
11,"RT @UltraDane: 3.24.21 Ryan Decker was shot in the face. Ryan was asked to wear a mask in a store, so he went outside to get 1 &amp; accidental…"
12,"@Zacari171 @harassedmanatee @lncmpltemission You have yet to find logic dumb nigger, stop trying. Burglar and robber are both criminal acts therefore the difference in negligible yet here is the nigger debating semantics again. He’s definitely not defending the dude because of his in group preferences."
13,"RT @Blackamazon: Like yall keep showing e crying white lady reporters , and celebrities

but the first thing that happened when Elon got on…"
14,"RT @UltraDane: 3.24.21 Ryan Decker was shot in the face. Ryan was asked to wear a mask in a store, so he went outside to get 1 &amp; accidental…"
15,I have to talk like a nigger sometimes because some people piss me off.
16,"RT @UltraDane: 3.24.21 Ryan Decker was shot in the face. Ryan was asked to wear a mask in a store, so he went outside to get 1 &amp; accidental…"
17,"RT @UltraDane: 3.24.21 Ryan Decker was shot in the face. Ryan was asked to wear a mask in a store, so he went outside to get 1 &amp; accidental…"
18,"RT @UltraDane: 3.24.21 Ryan Decker was shot in the face. Ryan was asked to wear a mask in a store, so he went outside to get 1 &amp; accidental…"
19,"RT @UltraDane: 3.24.21 Ryan Decker was shot in the face. Ryan was asked to wear a mask in a store, so he went outside to get 1 &amp; accidental…"
20,@DanOjowa Shut up nigger
21,"RT @StiloMagolide_: Yea
I took it back to the kaap/
Kopple with the brassa /
when you see me say wassup/
Woman and weather nigger/
 i dress…"
22,"RT @StiloMagolide_: Yea
I took it back to the kaap/
Kopple with the brassa /
when you see me say wassup/
Woman and weather nigger/
 i dress…"
23,"Genius of Love https://t.co/tv6CQwBoTR via @YouTube The lyrics sing, ""we all went insane when we took cocaine."" That's a bad word, cocaine, it's worse than the word nigger. We all have been brainwashed to think that there is such a thing as a bad word. Are mice paranoid like"
24,"RT @UltraDane: 3.24.21 Ryan Decker was shot in the face. Ryan was asked to wear a mask in a store, so he went outside to get 1 &amp; accidental…"
25,"RT @animegroyp: “You’re a nigger, Harry.” https://t.co/xsGkW9c5bw"
26,BRITNEY SPEARS YOUR NIGGER KIDS ARE GOING TO HELL WITH YOU. AND YOUR UGLY ASS FAMILY. EXCEPT ID SAVE YOUR DAD. HE IS ONE OF MY HOTTEST PORN STARS IN THE GOD DAMN WORLD. I LOVE HOW HE ABUSED YOU. TANNER YOUR UGLY ASS MOM AND KIDS ARE GOING TO HELL. I SWEAR TO GOD. USE YOUR BRAIN.
27,@rachelzegler son of a bitch，nigger
28,"@ImBlackBond Lol hmmmmm , nigger I'm craving junk food.  We have any days off ? If it's within the time frame"
29,"RT @UltraDane: 3.24.21 Ryan Decker was shot in the face. Ryan was asked to wear a mask in a store, so he went outside to get 1 &amp; accidental…"
30,RT @AFRO_CUCK: “Look at your respectable little son getting respected by nigger cocks. You raised him so good #Gaycuck… What?  You want som…
31,My nigger
32,Of course you’re gay and racist so you think we so dumb we just call each other nigger yes you think this because you are fags who have zero interaction with the hood
33,@ChaibvaG @edmnangagwa Blatant lies. The old nigger is singing for his supper. ***licking to be precise
34,Xian ra nigger
35,"@TheGreatKaitsu Well, it's even better because he would've been born Cassius Clay and then given himself the name Muhammad Ali after converting to Islam. Also Marky Mark, historical racist, talking about white supremacy and how ""No Vietnamese ever called me nigger"" would end  my sides."
36,@FOX29philly Is That a Crime or Free 🆓 Speech 💬 If He wrote Nigger he would only be charged with Committing Graffiti Be For Real
37,China you called me a nigger this morning
38,IT TIME TO PRAY MY NIGGER ! https://t.co/ODmUmjZepk
39,@Myrrhandcherry @sernique_ Nigger? o to sie rozchodzi?
40,RT @AFRO_CUCK: “Look at your respectable little son getting respected by nigger cocks. You raised him so good #Gaycuck… What?  You want som…
41,This is in an interesting new way to say the word “nigger.” https://t.co/UkmCIRrSbu
42,"@SaycheeseDGTL Yall have the balls to tell him hes not black but wouldnt have the balls to tell his black father that his son is not black

The same way yall get on him for addressing black issues but dont give any attention to the issue of the many times people called Logic a nigger"
43,@InternetRadical just say nigger
44,"RT @UltraDane: 3.24.21 Ryan Decker was shot in the face. Ryan was asked to wear a mask in a store, so he went outside to get 1 &amp; accidental…"
45,"RT @UltraDane: 3.24.21 Ryan Decker was shot in the face. Ryan was asked to wear a mask in a store, so he went outside to get 1 &amp; accidental…"
46,RT @LiviISStrong: Even have been here to make this post had I said a word. Which is scary to even think of. Just for my skin being darker I…
47,"RT @UltraDane: 3.24.21 Ryan Decker was shot in the face. Ryan was asked to wear a mask in a store, so he went outside to get 1 &amp; accidental…"
48,NIGGER https://t.co/8EQHNJOZ9Z
49,@mbuyamasamusa Koo kuti zii mpfana wangu nigger
50,"RT @UltraDane: 3.24.21 Ryan Decker was shot in the face. Ryan was asked to wear a mask in a store, so he went outside to get 1 &amp; accidental…"
51,"@Juarez11Tom @SquillMama Were you going to use a word other than nigger?  That’s what I call violent Black people in the US.  It may not apply in the video, because the black culture might be a little different in the UK.  The niggers in the US were nearly all born here, so not really an immigration… https://t.co/C9F5Fbi9RT"
52,@Nasvision @bchinyakata @Daltie07 @EdwardthembaSa @Jonatha35301534 @Ke_Arturo @lekoloanemanam2 @Mfana80857307 @Philip_ItisI @mona_tef @Tuch_Irfaan Nigger excuse me https://t.co/Z1ihxacj8y
53,"Lmao tryna gatekeep the n word from mixed people is insane. Lmao if we were still in lynching times he’d be just as eligible for a noose as the rest of us. “If you have an ounce of nigger blood, you’re a nigger” https://t.co/zkQ99j1Ktg"
54,Even have been here to make this post had I said a word. Which is scary to even think of. Just for my skin being darker I don’t belong or should be killed or beaten? I should be called a nigger? After all these years ? It never stopped we just started speaking up more
55,"RT @UltraDane: 3.24.21 Ryan Decker was shot in the face. Ryan was asked to wear a mask in a store, so he went outside to get 1 &amp; accidental…"
56,@SpinosaurusYTP Nigger
57,"RT @UltraDane: 3.24.21 Ryan Decker was shot in the face. Ryan was asked to wear a mask in a store, so he went outside to get 1 &amp; accidental…"
58,"RT @UltraDane: 3.24.21 Ryan Decker was shot in the face. Ryan was asked to wear a mask in a store, so he went outside to get 1 &amp; accidental…"
59,NIGGER
