,tweet
0,RT @NurseChris08: @hulkswag85 There’s racist people everywhere but I agree with you . Only in TJ maxx in Durham NC where I was called a “ w…
1,RT @themosticleseye: Fuck you scumbag dipshit asshole asswipe retard nigger wonder bread cracker trailer trash redneck bitch wetback beaner…
2,@HowNeilFeels @QuieroLa13 @usmntonly @NBCSportsSoccer Lmfao that dude walks around in Kentucky or Alabama he’s a wetback stop
3,@StevieDerrick_ I guess I’m a wetback then… right originators of the black pigment?
4,@EvanEvanSussed @SacramentoKings This kid calls me a dirty wetback everyday and proceeds to tell me to get back to the local Walmart parking lot and get to sell my tamales out of my 2005 Chevy Astro van
5,@SaycheeseDGTL He’s literally black tf wrong with y’all I’m Mexican and white but that won’t stop me from eating my grandmas tamales and saying the words beaner and wetback smh y’all just online too much
6,RT @Pinchetta_: @RedAlter11 So much for wetback as a slur smh
7,@c0pperheaded__ Operation wetback moved a million people in a summer
8,@RedAlter11 So much for wetback as a slur smh
9,@Miguel49ersfan @wwecraigslist @p_jeanne97 @WolfVanHalen That’s nice they give the Gardner free housing. Get back over the border #wetback
10,"@TSDR_Trading @gurgavin Frostbacks.

…it’s okay im a wetback."
11,@ptacekethx @thyler_11 @cunternoter1 @CarterAntFan @uncensoredpromo Again I’m not the  race you’re saying so idk who you’re calling wetback dumb ass 😂 and you probably are a pedo you got  exited seeing a kid dance only you felt that way bro 😂
12,RT @MrBeast79052799: Raw dogged that bitch. #gangbang #bbc #milf #whore #slut #wetback #pussy #creamy #ass #latina #hardcock #fatass #tits…
13,"""Wetback and Tacochomper take up too many characters. It's about economy in language."" https://t.co/w7RGCBNfH7 https://t.co/dz69BPLgL5"
14,@ElFranky_ @sakatasama2 @lopezobrador_ 🤣🤣🤣eso solo se paga una vez al año animal 😂😂😂pagas ISPT? ISR? Al consumo ? IEPS? Estas bien güey wetback
15,@ElFranky_ @sakatasama2 @lopezobrador_ Eso no quiere decir que te fueras de wetback desde un inicio.. y por la misericordia del imperio de dieron residencia😅😅😅
16,@ElFranky_ @sakatasama2 @lopezobrador_ Es lúdico!! Espero que sepas que es eso… cosa que dudo!🤣🤣🤣pobre wetback
17,@ElFranky_ @sakatasama2 @lopezobrador_ Yo no defiendo a ninguno como tu p3nd3j4z0 y aparte Wetback....terminaste la primaria?
18,"@ElFranky_ @sakatasama2 @lopezobrador_ Por cierto, Hocicón...Ve como se controlo la inflacion en los periodos ""Neoliberales"" 🤣🤣🤣 Ah pero andabas de Wetback y ahora crees que esto es la pancea..Pobre Güey. https://t.co/zmGrTj7WHy"
19,"@ElFranky_ @sakatasama2 Como comparas el nivel de vida de WetBack con el de un mexicano promedio? Existen solo uno en la principales ciudades de México, Salvo en Mty, México y Gdl donde existen mas de uno."
20,"@JCC86504443 @ElFranky_ A ver p3nd3jazo...Esto es que puso el wetback de Franky....Y tu comparación es bastante estúpida como tu, solo tragas tortilla? 🤣🤣🤣 https://t.co/PfD2N0XPWc"
21,"@ElFranky_ @sakatasama2 Tu eres un ""WetBack"" acefalo....🤣🤣 Por que no te vienes de tiempo completo a vivir a el paraíso que tanto defiendes?"
22,"Call me racist when i bust on shawties back side , call her wetback ! 🗣️"
23,@hanifbali @Gravseminariet Våtryggad = wetback? 🫣
24,@_VicenteSerrano Pues después de 35 años ya tienen un buen de capital y te puedo asegurar que no está legalizado sino sigue de wetback y oye ya eres el enlace de los migrantes mexicanos ?
25,@hulkswag85 There’s racist people everywhere but I agree with you . Only in TJ maxx in Durham NC where I was called a “ wetback “ and I’m not even Mexican … yup racism is thic here and lived in California for 25 yrs .
26,"Today my coworker asked me if people still say “wetback”. 

Like what the actual fuck."
27,I’d let Dua Lipa call me a wetback 😮‍💨
28,@WhitlockJason wetback and spic fully spelled out But not the other slurs  🤔
29,"@SkuterCole If Abbot doesn't declare an invasion we are going to lose Texas.

Eisenhower deported 1 million illegals in the 1950s. It was called Operation Wetback.

We need 2.0 and need to deport 20 million"
30,Wow what a wetback dump lol https://t.co/u3MjqwBKvt
31,RT @MusubiEnjoyer: @NamelessProtag @Loritwt Nameless I really don’t appreciate that one time you called me a dirty wetback and said I shoul…
32,RT @MusubiEnjoyer: @NamelessProtag @Loritwt Nameless I really don’t appreciate that one time you called me a dirty wetback and said I shoul…
33,"@NamelessProtag @Loritwt Nameless I really don’t appreciate that one time you called me a dirty wetback and said I should go back to the other side of the border, really feel you could’ve handled that situation a bit better without bringing race into it"
34,"@LarryShyGuy @Albertet81 @Laguerrera We dont want younin the País Valencia, white wetback trash."
35,"@washingtonpost Anything OTHER than the race should be avoided if you’re not sure.  Race wasn’t pertinent to the discussion. 

Chink you would know?  Jap?  Gook?  Almond eye?  Wo0?  Wetback?   But nip you would claim to think is just fine?  🤣  Anyone who believes that is a liar."
36,@thebeginning01 Who the fuck called you a wetback?
37,Nigga. #beaners #frijoles #wetback
38,"RT @LooseIdentity: In the US, I've been called beaner &amp; wetback. But in the UK, a little blond kid walked up to me yelling, ""Hello, Sahib!""…"
39,Operation Wetback 1954 🤔
40,"In the US, I've been called beaner &amp; wetback. But in the UK, a little blond kid walked up to me yelling, ""Hello, Sahib!"" while doing a sideways head bob. https://t.co/GAdybTO9Sf"
41,"@dejoselapiz @CarlosLoret Oye ""P3nd3j3t3...Eres un ""Wetback"" redimido  que apoya a un gobierno que no sufre desde el malvado imperio?  No mames!! Pobre Güey!  🤣🤣🤣 https://t.co/njVnTEVlgN"
42,@KalimanVsBatman @liderponce2129 @RamiLJRo @MeDicenMike2022 @JoDaSu85 @AlbertM81 @KleineKrOteFifi @PatoDLaPaz @flyndamx @ituAV08 @ManuelVegaMX @javithechef1 @adnware @CarmeloTallas01 @SUperMarioAnti4 @soccergol4 @MinekoKia @wandocell @JL0_42 @maurotimauroti @CARLOSGUAY12 @thelogokai2 @ElLoboFenix @rafaelg37721532 @Angeles63678910 @GiganteSolovino @DrAxolote @estanislaojr @napoles_o @ElTaqHero @sinchairos @evilscrat @vbadillor @HectorSisan @TQuedateencasa @ElCandela_bro @jmvillalpando04 @WASHOMA @Na90535870Mario @AlanFrancisco75 @Ursulaliber @MIKE_DRG4915 @samael666ser @Jesusmuox10 @MikeFit17 @TheJusticeDept @DEAHQ @CIA @brozoxmiswebs @CarlosLoret Usted si es wetback!!!
