,tweet
0,"@Pani_Svitlana1 @lussi100 Зеленський ватник, антимайданівець, квітконосець сталінським оркам 9 травня, можемповторятєль війн, гулагів і колгоспів приміряє на себе френч сраліна і ніколи не маскувався і нікого не зраджував бо таким виріс в совковій сім’ї і совковій школі у совковому місті."
1,"@dvk3279 @prm_ua Зеленський ватник, антимайданівець, квітконосець сталінським оркам 9 травня, можемповторятєль війн, гулагів і колгоспів приміряє на себе сралінський френч. Ми сиділи без світла і Зеля заявляв що потрібно 19 лярдів баксів і два роки для відновлення електропостачання, тепер ось це."
2,"RT @trembita69: @gHCgfa3GL4UzoAE @sprotiv Зеленський ватник, антимайданівець, квітконосець сталінським оркам 9 травня, можемпавтарятєль вій…"
3,"#позорище @PresidentOfBg,
срам ни е от теб #ватник
#НационаленПредател #Оставка #Impeachradev
#Impeachmentofradev"
4,"RT @torvi2502: Купил в Ялте,на Бакалее. 
Продавщица громко рекламировала товар:Мелитопольский завод,Украина.А значит есть можно!
Старый ват…"
5,"@vse_pustoe Вы не ватник. У вас ген совести сопротивляется. Этот обучающий ролик рассчитан на тех, кого обсуждали в предыдущем видео, где обзор шоурума под песню о сыне прокурора"
6,"RT @trembita69: @gHCgfa3GL4UzoAE @sprotiv Зеленський ватник, антимайданівець, квітконосець сталінським оркам 9 травня, можемпавтарятєль вій…"
7,"@MilsGils @gudkov_g Ватник тебе дело предлагает,  а ты, дегенерат, со своей сЛабодой. 😎😎😎"
8,"@sokolov_salam @Miia880315511 @DurdomOnline Да похуй на тебя, рузкий нерузкий ватник. Свинья, она и в африке свинья. Дрочи на путена дальше. И учи кетайский, будешь работать за миску риса. Если не станешь удобрением в Украине раньше. Слава Украине!"
9,"@aznslt @gudkov_g Подтирайся твиттером, пока ваш лысый гуй не забанил. Ватник мне про свободу слова втирает…"
10,"RT @torvi2502: Купил в Ялте,на Бакалее. 
Продавщица громко рекламировала товар:Мелитопольский завод,Украина.А значит есть можно!
Старый ват…"
11,"@R1ght_Now Так же мой персональный ватник на работе говорил года два назад, что все, приезжая в рф должны знать русский, говорю, а ничего что сама рф это Федерация, и даже внутри у нас языков дохера?? Конченые на всю голову, ничего не докажешь"
12,"RT @torvi2502: Купил в Ялте,на Бакалее. 
Продавщица громко рекламировала товар:Мелитопольский завод,Украина.А значит есть можно!
Старый ват…"
13,"RT @latvijas_vate: Рижский ватник не понимает, почему латыши с украинцами могут поговорить по-русски, а с местными русскими не хотят. Есть…"
14,"@gHCgfa3GL4UzoAE @sprotiv Зеленський ватник, антимайданівець, квітконосець сталінським оркам 9 травня, можемпавтарятєль війн, гулагів і колгоспів приміряє на себе френч сраліна."
15,"RT @torvi2502: Купил в Ялте,на Бакалее. 
Продавщица громко рекламировала товар:Мелитопольский завод,Украина.А значит есть можно!
Старый ват…"
16,"Я родился и 60 лет в Рашке жил
Рашка - территория кровавых паразитов, глистарня
Рашкинды - кровавые паразиты, глисты

Патриот рашки - ватник https://t.co/uYHJWP4y47"
17,@VA_CPUSA Нахуй иди ватник ебанный
18,"RT @latvijas_vate: Рижский ватник не понимает, почему латыши с украинцами могут поговорить по-русски, а с местными русскими не хотят. Есть…"
19,"RT @torvi2502: Купил в Ялте,на Бакалее. 
Продавщица громко рекламировала товар:Мелитопольский завод,Украина.А значит есть можно!
Старый ват…"
20,"@ydzyubin Зеленський ватник, антимайданівець, квітконосець сталінським оркам 9 травня, можемпавтарятєль війн, гулагів і колгоспів приміряє на себе сралінський френч щоб 9 знову понести квіти оркам, які під час Голодомору блокували села а після другої світової готували депортацію за Урал."
21,"RT @latvijas_vate: Рижский ватник не понимает, почему латыши с украинцами могут поговорить по-русски, а с местными русскими не хотят. Есть…"
22,"@alnkol @prof_preobr Ватник,засунь глобус пидорашки себе поглубже. Историк мамкин."
23,"@TGfromCA @ElectricReborn Откуда уверенность, что папа не имперский ватник?"
24,"RT @latvijas_vate: Рижский ватник не понимает, почему латыши с украинцами могут поговорить по-русски, а с местными русскими не хотят. Есть…"
25,"RT @latvijas_vate: Рижский ватник не понимает, почему латыши с украинцами могут поговорить по-русски, а с местными русскими не хотят. Есть…"
26,"RT @latvijas_vate: Рижский ватник не понимает, почему латыши с украинцами могут поговорить по-русски, а с местными русскими не хотят. Есть…"
27,"RT @latvijas_vate: Рижский ватник не понимает, почему латыши с украинцами могут поговорить по-русски, а с местными русскими не хотят. Есть…"
28,"@moscester @Dialog_UA Ватник, ты аж охуел да? Это ты ещё не видел китайский госдолг, вот охуеешь то когда увидишь"
29,"RT @torvi2502: Купил в Ялте,на Бакалее. 
Продавщица громко рекламировала товар:Мелитопольский завод,Украина.А значит есть можно!
Старый ват…"
30,@Shulzenstein @loveiskeks @KseNNik Ещё и не ватник! Респект таким парням
