,tweet
0,"RT @DrLivesey_: Ахуительно путен поговорил с си!
Так, что комуняка сразу по возвращению начал вдруг исполнять санкции."
1,"RT @DrLivesey_: Ахуительно путен поговорил с си!
Так, что комуняка сразу по возвращению начал вдруг исполнять санкции."
2,"Ахуительно путен поговорил с си!
Так, что комуняка сразу по возвращению начал вдруг исполнять санкции. https://t.co/sg6MpzhCM6"
3,"RT @jrondoo: @ComeGentleNight Я прям дуже сподіваюсь, що новому міністру вдасться запровадити зміни починаючи з ""самих низин"", тобто з  вчи…"
4,"каждый раз повторяюсь. 

этот комуняка со своим романтизмом до добра не доведёт，мальчиш-кибальчиш блять https://t.co/70QCFu4xXm"
5,@24tvua гарний комуняка лише на гіляці.
6,"@RealEstet777 Товарищ Мао, убил больше людей, чем хитлер и сралин, вместе взятые. Путин вот, старается, комуняка и гэбешник. О чём ему говорить в Украине? Другое дело в РФ. Точнее, в КФ. Парешали пацаны, шо бывшие русские, станут китайскими. Вот это разговор!☝️🙄"
7,@i_army_org це ж як комуняка Леонід макарович в труні в пеклі крутиться..
8,"RT @ItechHomer: Комуняка, поборниця російської мови, яка розповідає про причини та наслідки. Та й ще в манері базарної хабалки. Ця цвіль вв…"
9,"Яка прірва у науці...
Які ж гидкі ці дві курви: стара гбшна комуняка та молодша істота з руснявою щелепою. https://t.co/3Hq7PA87Vp"
10,"RT @ItechHomer: Комуняка, поборниця російської мови, яка розповідає про причини та наслідки. Та й ще в манері базарної хабалки. Ця цвіль вв…"
11,RT @laukmanova: Хай би той комуняка Сі приїхав до Запоріжжя. Шоб йому по голові і в'єбало. Сууууки. Ненавиджу.😡😡😡
12,"RT @ItechHomer: Комуняка, поборниця російської мови, яка розповідає про причини та наслідки. Та й ще в манері базарної хабалки. Ця цвіль вв…"
13,"RT @jrondoo: @ComeGentleNight Я прям дуже сподіваюсь, що новому міністру вдасться запровадити зміни починаючи з ""самих низин"", тобто з  вчи…"
14,"@ComeGentleNight Я прям дуже сподіваюсь, що новому міністру вдасться запровадити зміни починаючи з ""самих низин"", тобто з  вчитильок в звичайних школах. Бо вони просто неймовірно шкідливими іноді бувають. Малорос чи комуняка вчитель + неуважні батьки = велика біда в голові дитини."
15,@AwayBeaver @RyadovoyVorobey @KermlinRussia Дак и Украину сейчас ваши террористы чекисты бомбят и приговаривают «ради мира». Комуняка=лжец никакого равенства в совке не было и не планировалось.
16,"RT @ItechHomer: Комуняка, поборниця російської мови, яка розповідає про причини та наслідки. Та й ще в манері базарної хабалки. Ця цвіль вв…"
17,"RT @ItechHomer: Комуняка, поборниця російської мови, яка розповідає про причини та наслідки. Та й ще в манері базарної хабалки. Ця цвіль вв…"
18,"RT @ItechHomer: Комуняка, поборниця російської мови, яка розповідає про причини та наслідки. Та й ще в манері базарної хабалки. Ця цвіль вв…"
19,"RT @ItechHomer: Комуняка, поборниця російської мови, яка розповідає про причини та наслідки. Та й ще в манері базарної хабалки. Ця цвіль вв…"
20,@ps__natasha Мене від цієї курки завжди блювати тягне. Комуняка фарбована.
21,"RT @ItechHomer: Комуняка, поборниця російської мови, яка розповідає про причини та наслідки. Та й ще в манері базарної хабалки. Ця цвіль вв…"
22,@MoraineGoddess некоторые наоборот... ну мало мне 4 мин... я ж не комуняка!!!
23,"RT @ItechHomer: Комуняка, поборниця російської мови, яка розповідає про причини та наслідки. Та й ще в манері базарної хабалки. Ця цвіль вв…"
24,"RT @ItechHomer: Комуняка, поборниця російської мови, яка розповідає про причини та наслідки. Та й ще в манері базарної хабалки. Ця цвіль вв…"
25,"RT @ItechHomer: Комуняка, поборниця російської мови, яка розповідає про причини та наслідки. Та й ще в манері базарної хабалки. Ця цвіль вв…"
26,"RT @ItechHomer: Комуняка, поборниця російської мови, яка розповідає про причини та наслідки. Та й ще в манері базарної хабалки. Ця цвіль вв…"
27,"RT @ItechHomer: Комуняка, поборниця російської мови, яка розповідає про причини та наслідки. Та й ще в манері базарної хабалки. Ця цвіль вв…"
28,"RT @ItechHomer: Комуняка, поборниця російської мови, яка розповідає про причини та наслідки. Та й ще в манері базарної хабалки. Ця цвіль вв…"
29,"RT @ItechHomer: Комуняка, поборниця російської мови, яка розповідає про причини та наслідки. Та й ще в манері базарної хабалки. Ця цвіль вв…"
30,"Комуняка, поборниця російської мови, яка розповідає про причини та наслідки. Та й ще в манері базарної хабалки. Ця цвіль вважається елітою. Ідейний вчитель та натхненниця маланки подоляк. https://t.co/tQ2EMYTDwA"
31,"RT @Egor14081972: Немного о вЯличии древнего Китая. Первая экономика мира, новейшие технологии, ядерная держава, без Китая цивилизация поги…"
32,"Їбать, хтось знову тягає фаріон, щоб її обісрать? Мені було достатньо знань про те, що вона комуняка. 
Моя філософія проста, комуняка - значить нахуй!"
33,"RT @Egor14081972: Немного о вЯличии древнего Китая. Первая экономика мира, новейшие технологии, ядерная держава, без Китая цивилизация поги…"
34,RT @laukmanova: Хай би той комуняка Сі приїхав до Запоріжжя. Шоб йому по голові і в'єбало. Сууууки. Ненавиджу.😡😡😡
35,RT @laukmanova: Хай би той комуняка Сі приїхав до Запоріжжя. Шоб йому по голові і в'єбало. Сууууки. Ненавиджу.😡😡😡
36,"@sladkij_noyabr @Pippen_________ @dw_russian Как это,жить без мозгов?А комуняка?"
37,RT @laukmanova: Хай би той комуняка Сі приїхав до Запоріжжя. Шоб йому по голові і в'єбало. Сууууки. Ненавиджу.😡😡😡
38,RT @laukmanova: Хай би той комуняка Сі приїхав до Запоріжжя. Шоб йому по голові і в'єбало. Сууууки. Ненавиджу.😡😡😡
39,RT @laukmanova: Хай би той комуняка Сі приїхав до Запоріжжя. Шоб йому по голові і в'єбало. Сууууки. Ненавиджу.😡😡😡
40,"пишеш сюжет для відеоігри, а сам параноїдально уявляєш як американський комуняка описує наскільки добре в ньому розвинуті ідеї маркса"
41,"@ps__natasha Це випадково не та божевільна комуняка? А так, це пані Фаріон.."
42,"@dumbemokitty @ukranontwi tower of fantasy це китаєць комуняка, так шо не рекомендую"
43,@BohdanKrotevych фаріонша - стара тупа комуняка
44,@ps__natasha комуняка
45,@BohdanKrotevych Стара поїхавша комуняка Фаріон
46,@zhovta_plyama комуняка йобана
47,RT @laukmanova: Хай би той комуняка Сі приїхав до Запоріжжя. Шоб йому по голові і в'єбало. Сууууки. Ненавиджу.😡😡😡
48,Хай би той комуняка Сі приїхав до Запоріжжя. Шоб йому по голові і в'єбало. Сууууки. Ненавиджу.😡😡😡
49,@IrinaOma16 КИТАЙ КОМУНЯКА НАШ ВОРОГ.А ВСІ ВИРОБНИЦТВА З КИТАЮ МАЮТЬ ВИВЕСТИ .
50,"@ps__natasha Кармічно, цю курву має шляк трафити. Комуняка замаскована"
51,"@nv_astronaut Та нє, комуняка стара просто, це дуже радянський погляд просто"
52,"@fermerzpolissia Так судячи з її логіки за те що вона комуняка, її калібром повинно було б накрити 🤡🤡🤡"
53,"RT @Egor14081972: Немного о вЯличии древнего Китая. Первая экономика мира, новейшие технологии, ядерная держава, без Китая цивилизация поги…"
54,@stormmans комуняка розоволосна 🤮
55,cerrrrfff там ще й комуняка на фоні
56,@NOELreports Хай піздує комуняка недобита
57,"Немного о вЯличии древнего Китая. Первая экономика мира, новейшие технологии, ядерная держава, без Китая цивилизация погибнет, американцам скоро пиздец ну и т.д.
Самолёт на котором передвигается главный комуняка мира - Боинг747.
Даже хуйло, и тот по небу свою жопу на ИлЕ возит."
58,"@crazygolub ""Детермінізм"" і ""карма"" в сусідніх реченнях може вживати лише тупа колишня комуняка, все правильно поки."
59,Давній комуняка https://t.co/KHKPcSWtUT
60,"@by_Ukraine Цей інститут пора закривати. Щось дуже багато неспівпадінь останнім часом в їхній аналітиці. Саме те, що китайський верховний комуняка приїхав до москви є ознакою ""надання підтримки для подолання невдач"". Це те, що на поверхні, а ще є багато чого схованого за зачиненими дверима"
61,"@Gulli_ver_sn комуняка має бути таварищ, а гаспада усі в Тайвані"
62,"@realrhett1 @shirliryna Смокчи, комуняка"
63,"@denezhken Тыж вроде неребёнок!!! Си комуняка, когда комуняки что то комуто говорили или неврали?! Вся их жизнь и политика враньё и лицемерие! Мягко говоря. ."
64,"RT @hulyneuley: @Info53917080 це комуняка, який перефарбувався, гнида"
65,"@Info53917080 це комуняка, який перефарбувався, гнида"
66,"@v80_fc @max_tik @Sahnivsky А  цікаво ще  таке:  От  які особливі права на землі запасу селищних рад мають ті, хто її орендував на 49 років з правом подальшого першочергового викупу? І чому цого права не мають ті, хто її боронить? Я не комуняка і чужого не хочу. Я просто на боці елементарної справедливості."
67,"@olegaleksandro2 @GlobNews24 китайскому дураку этот газ обойдется в три раза дороже чем он стоит...ему стойло быстро покажут,он такой же баран как и путло, комуняка тупая !"
68,"@LisMikita3 @max_tik @Sahnivsky Я ж кажу комуняка. Забрати чуже собі, бо маєш особливі права, хоча не знаєш тих у кого забираєш, в твоєму світі це вороги-куркуляки."
69,"@v80_fc @max_tik @Sahnivsky Не комуняка, але має бути справедливість. Ті хто боронить цю землю, ті мають першочергове право на неї, а не ті, що хитродупі. Що заважає куркулякам відмовитися від аренди на користь когос з уч. Б.Д.?  Звичайна жадібність..."
70,"@LisMikita3 @max_tik @Sahnivsky Ого тут у нас комуняка, забрать і падєліть."
71,мене так бісить бзв шо він написав такий гімн як блоу типу от шоб шо?? шоб я не могла його слухать бо ти комуняка кончена https://t.co/vnz57IBAgu
72,"@AzarovNikolay_ Чего орёшь, старче?)))) Комуняка православная, блдь."
73,@ukranontwi Ну враховуючи шо сяо джань як мінімум (про ван їбо не чула) їбаний комуняка звичайно не дорівнює але ну близько дуже:)
74,@giustizio ''упьорта комуняка''..дівчинка молодець💪💪💛💙
