,tweet
0,"@ElectricReborn Каждый брусок масла включён в реестр иностранных агентов. На один из них(Тот, что в левом верхнем углу -- сразу видно, что либераха) заведено уголовное дело."
1,"@MrSyshell Так она либераха, Путин у неё плохой, ничего не может, страну развалил, медицину уничтожил🤷"
2,"@VukazoidR @SpanchbobFanat Да я сам самовыразился на эту тему в лифте как-то. Стикерами блять, не маркером по стенам. Либераха🤷‍♂️"
3,"@Morenabrunett @crashmaker Это русская либераха -антипутинка, как вы смеете!))))"
4,А разве мог либераха что то другое написать? МЫ ТЕБЕ НЕ ВЕРИМ https://t.co/8ztohSYjR1
5,@Counterspe11 ЛИБЕРАХА АХАХАХАХА
6,"@max_katz @chich_8 да хули лайки тут ставить вообще?
Кац, ты же типичгный либераха, который тупо ненавидит Россию и все"
7,"@veronika91654 @DimonchikKh ахахаххах, как всегда рос.либераха жалкое зрелище"
8,"Ни дня, чтобы обоссаная русская либераха не обесценивала геройский подвиг украинского народа) https://t.co/Ce2kkmXXiv"
9,"@kirigirya @Taake1488 @rait_pizdabol С кукана встал, должен был косарь отдать, а тут хуле так мало, либераха, блять, ты!"
10,"@Mika_venerovna @cyberneologatio АХАХАХХАХАХАХХА
Типичная либераха
Чуть что скажи против европки скажи - всё, агент Путина 😁😁😁
Но ты старайся получше, а то за некачественные комменты не заплатят 😁"
11,@mironov_fm Больная либераха☺️
12,@dimon4ick26 Я же либераха
13,@ZaNasZaGaz @rina_neona Как Путин к власти пришёл? Ах тыж либераха
14,каждый день ощущаю себя как в том меме нет стой ты не понял это ты вирджин кукож порридж сойджак либераха куколд микрочел а я базированный гигачад шлёпа с большой бородой и квадратной челюстью
15,"@AAdvokat @prof_preobr Клоун, попросту нечего сказать ?) классическая либераха безмозглая, ты главное в Россию не возвращайся )"
16,"@GJ0VBURTvBewEJb @MrSokolovsky Ну во, я теперь либераха.
В изначальном твите говорилось о том, что это личный выбор каждого идти по повесткам на войну или нет. Мой выбор - однозначно нет. Как я уже написал выше - я не собираюсь умирать ради государства. Почему мне общество должно быть важнее меня и моей семьи?"
17,"@Neformatws @sibsad Вопрос не в слове либераха, а в фильтрации твоего базара, на конструкции из серии: "" он все равно не поймет"", тоже включи фильтр"
18,"@PekaYoba @sibsad Покажи, где я в твой адрес сказал ""либераха""? Я вроде слежу за словами, неужели где-то не уследил? 

Насчёт маня-мирка претензии непонятны. Ты рассуждаешь о вымышленном мире, в котором всё подчиняется твоим законам, а я имею дело с конкретной проблемой, которую ты считаешь нормой"
19,"@OlgaV92455959 @oldLentach Ты просто не упоротый либераха, а так бы услышал"
20,@fdoorkom @gudkov_g А продает родину все равно либераха* а продажа Китаю целой страны другое дело
21,"Приходит либераха в поликлинику, а ему вместо МРТ йодную сеточку делают. Либераха спрашивает:
- А где аппарат для МРТ? В газетах писали, что деньги выделены и после тендера аппарат появится в больнице.
А ему отвечают: https://t.co/i3BeIMyZyQ"
22,@sashyanka я твиттерская фемка либераха биливерка 100%
23,"@katrintek @RocxyRKR + «либераха» указывает/может указывать на то, что изначального строгого следования определению и не предполагается. Тут же искажённое слово.
Где вы сейчас прям либералов согласно определению откапывать собрались? В стане тех, у кого в РФ всё плохо, а на Западе збс?"
24,"@No_Whiner_Club @Fmarkan @TuchkaTheArtist Нет
Просто я подобно Всеотцу Одину испил из источника мудрости, а ты сойджак либераха куколд"
25,"@ru2ch Эти люди не выходят на протесты по другому, более демократично что-ли. Не то что в рашке 
©любой хохол/либераха"
