,tweet
0,"RT @kalynablossom: йобана русня дібралась і до українських заповідників... 

поширення. перейдіть в інстаграм заповіднику і поширте останні…"
1,"RT @kalynablossom: йобана русня дібралась і до українських заповідників... 

поширення. перейдіть в інстаграм заповіднику і поширте останні…"
2,"RT @dtishche: @Krygolam @Shtef8 Лобода проти Порошенка. Портнов, Лукаш, вся русня проти Порошенка. Разом з вкраїнчиками. Але порохоботи то…"
3,@AndriySambul @666_mancer Люди нет- русня да. Вывод очевиден?
4,"RT @Oleksa_UA66: Слуги урода провалили в Полтаві засідання міськради щодо виплат військовим та демонтажу кацапських пам'ятників, але русня…"
5,"RT @lorigreen_: русня таки вкрала Асканію-Нову.

Співробітники не виїжджали звідти принципово, щоб не кидати тварин. Існували виключно на б…"
6,"@AlehandroFer @__minholly__ навіть українець, який не належить до лав ЗСУ, не повинен носити форму. і взагалі класне у вас пояснення. нас русня винищує чи Японія?"
7,"RT @lorigreen_: русня таки вкрала Асканію-Нову.

Співробітники не виїжджали звідти принципово, щоб не кидати тварин. Існували виключно на б…"
8,"RT @kalynablossom: йобана русня дібралась і до українських заповідників... 

поширення. перейдіть в інстаграм заповіднику і поширте останні…"
9,"@DimonchikKh Я сегодня с утра слышал, что из Крыма тоже, русня активно вывозят семьи! Соскучились по болоту!"
10,"RT @kalynablossom: йобана русня дібралась і до українських заповідників... 

поширення. перейдіть в інстаграм заповіднику і поширте останні…"
11,"RT @kalynablossom: йобана русня дібралась і до українських заповідників... 

поширення. перейдіть в інстаграм заповіднику і поширте останні…"
12,RT @sashakhrlmv: я колись тут навчалась....йобана русня https://t.co/8oSAwmreFP
13,"RT @kalynablossom: йобана русня дібралась і до українських заповідників... 

поширення. перейдіть в інстаграм заповіднику і поширте останні…"
14,"RT @kalynablossom: йобана русня дібралась і до українських заповідників... 

поширення. перейдіть в інстаграм заповіднику і поширте останні…"
15,"RT @kalynablossom: йобана русня дібралась і до українських заповідників... 

поширення. перейдіть в інстаграм заповіднику і поширте останні…"
16,"Йобана русня, будь проклята на віки вічні, навіть в це свято Благовіщення, кожен день, кожну мить Божу, будь проклята і всі виродки твої до кінця колін твоїх вироджених! https://t.co/Qu6IOclUQJ"
17,"RT @kalynablossom: йобана русня дібралась і до українських заповідників... 

поширення. перейдіть в інстаграм заповіднику і поширте останні…"
18,"RT @ArthurKei_UA: Коли я повторюю, що КНР - такий же гній, як і русня, я не помиляюся. 

Китайський посол в Австралії опублікував статтю «Т…"
19,"RT @katalina_ada: Світ несправедливий.Цілком і повністю.

Спотчаку Кейн Те Тай врятував життя полоненому,якого росіяни утримували в підвалі…"
