,tweet
0,"@boykoigor88 @ElenaNech_777 Я скучный гетеросексуальный спермобак, так что да, не наши сыновья 😊

И сам вопрос очень хороший. Надо подумать. Возможно до какого-то возраста мальчики ещё не мусор. Пока им в головы не успели вбить паттерны системного патриархата. Не думаю что прям с рождения мусор"
1,@qalaygana Что себе позволяет этот спермобак? Почему еще не под Бахмутом?
2,какой же кашин мерзотный спермобак блять мне очень стыдно что с ним и его питерской тусовкой у меня прошла вся юность https://t.co/KhEuZTPGYx
3,"инсталляция как сам мужчина признавая факт насилия, пытается доказать обратное жертве 

после этого треда, наоборот люди вокруг окончательно удостоверены, что это не мужчина, а конченный спермобак, который не может признать свою недееспособность против своего полового органа https://t.co/khUR7ooQ6X"
4,@emiliacioran Это попытка унизить очевидный тейк про долбоебизм астрологии аргументом «ря спермобак ущемляется опять»?
5,"@Liana_Fox Всем тупорылым малолеткам, визжащим про ""виктимблейминг"" и ""у неё была депрессия, а спермобак её использовал"", предлагаю посмотреть на твиты этой ""изнасилованной"" шалавы, а потом дружно проследовать в сторону полового органа дедушки. Ещё вопрос, кто кого там ""изнасиловал"". https://t.co/uvBIRwOy6y"
6,"@shtormgradskaya @frusteelle @kay27771 я канеш спермобак. скотина, мразб и всё такое, но тут согласен"
7,"Ну какбы ну типа ну блин ну ебать бля нахуй ну 
Никто же не... обви... 
Ну там же 
А похуй 
Я спермобак https://t.co/N9IvejEFD3"
8,"@Buratino_salo Уходи, противный спермобак! Я ущемлен! Где моя киргизская поддержка?"
9,"@saa617339485 @PechenyeVarenye С тебя сейчас все киргизы ущемляются, спермобак!"
10,"@pizzaples @VoiceChe @pomantiqq Голосуйте за возраст согласия с 21 года тогда я хз. Или может сразу 30. Ебать женщин до 30 - педофилия. Давайте, вводите законы. Что же вы. Так точно ни один спермобак не притронется"
11,"@alex_schermann Не насильно, а мужик её принудил отсосать! Ты, мизогинный спермобак, надо различать, кто тут жертва!"
12,если я девушка которой нравятся арты с обнаженными девушками из игр я типа тоже спермобак который сексуализирует женщин или всё-таки нет?
13,@kodfgofo Приспособление для вычерпывания спермы VS спермобак
14,"@cto_by Маскулинный спермобак!
Членоносный абьюзер!
Патриархальный гомофоб!"
15,"Ещё как сломало, она буквально в истерике от того что мне не нужен спермобак под боком https://t.co/Lrvz8Qre5i"
16,@maximkulkin @milosev1c Спермобак порвался на ровном месте.
17,"Якщо чоловік — спермобак, то жінка хто?"
18,"@upolRAEM @zmeyPlyskyin @BJIAD @BJIAD это спермобак 👀
Или я не вкурил ваши множественные слои иронии?😳"
19,"@kopiksopchik извинись, спермобак вонючий"
20,"@Kamil31865016 а давай-ка ты ебалом на моих друзей щёлкать не будешь, спермобак озабоченный, и нахуй по доброму сходишь, окей?"
