,tweet
0,"@sasha_sotnik ... перекрестясь на новый узкоглазый портрет в рамочке над головою. Такое ооооочень похожее на КНДР, но в кокошнике и с несгибаемой скрепой алко-долбоебизма в глазах 💪 💪 💪 💪 https://t.co/mjP9ni0mfl"
1,"@Jam_0s Это мне знокомо)) если казах, значит юрта и кумыс))) узкоглазый мамбет))) Лёша навальный говорил, что чучмеки)))"
2,"@bard_eb @arestovych Узкоглазый? И вы ещё хотите в прогрессивное европейские общество, нацики?)"
3,"@zaur_aliyarov @dw_russian Про отрезанные яйца есть видео, где узкоглазый казнит украинского воина. Ты про это, Заур?"
4,RT @NikitaPiterskij: @Zaratus53061801 Узкоглазый его просто не увидит.
5,"@arestovych Узкоглазый такой же пидор, как и путлирина…"
6,"@MMigrantov Узкоглазый говорит:Ну ладно вова ,я поехал. Ты тут не завали все."
7,"@bocharik какой же ты тупой челдонский долбойоб. Русский значит глаз узкий и череп без мозга и попа разорвана. Это все приметы т.наз. ""руских"": долбойоб, скуласто-узкоглазый и попа в крови"
8,"@Dialog_UA Лакей узкоглазый не ""чувствует гнева""к своим хозяевам,которые расхерачили 2 его города с миллионом его земляков атомными бомбами?Господи,какие жалкие и ничтожные японские холуи!Такое же говно,как и холопы- свинобандеровцы из свинорейха.😀"
9,"@WarMonitors Димон перкнул: он и в правду узкоглазый. 
Серый: во истину."
10,"@ru_rbc Узкоглазый партнёр рашизма, крайне занимательная история, плешивый васал должен побольше ботокса вокруг глаз"
11,"@prof_preobr Китай осуждает, но не прочь полакомиться пирогом. Да что полакомиться, сейчас он поглотит россию экономически, без единого выстрела. Но руzzкие со своими «узкоглазый, черножопый» далеко не продвинутся в дружбе с Китаем."
12,"@VictorKvert2008 Узкоглазый приехал, ха-ха-ха!"
13,"@tass_agency А что нибудь по делу хоть кто-то выскажет? Или только будут делать друг другу миньет прилюдно причмокивая ? Хоть что-то будет сделано, построено, поставлено в товарах, деньгах. Я не понимаю нахрена приехал этот узкоглазый."
14,@ValBodin низкорослый узкоглазый и альфасамец
15,@IgorIgorevich63 Пруфы где? Узкоглазый
16,"@finanzru А кто такой этот узкоглазый пидорас, чтобы решать останется хуйло у власти или нет?."
17,"@Janell29834839 @Adrian19681968 @MaserattiRadik @prof_preobr Нету нацистов? А кто те люди, для которых, если не русский, то чурка, черножепый, узкоглазый, пшеки, проебалты и т.д.
Кто сдает кв только людям славянской внешности?
Пиздливые, моральные уроды"
18,"@etoj_vot Ну что повоевали? Если кому то тарифы понижают , Си, то лохам их надо срочно повысить. Узкоглазый уедет довольный, а мнение быдла, не сильно и волнует."
19,"RT @55privet555: Как меня только в детстве и молодости не называли- и узкоглазый и чукча и китаёза...
Ну теперь то мы, с товарищем Си, науч…"
20,"RT @55privet555: Как меня только в детстве и молодости не называли- и узкоглазый и чукча и китаёза...
Ну теперь то мы, с товарищем Си, науч…"
21,".САМИ ..СКАЗАЛ НАЧНУТ , ПОКРЫВАТЬ , ОСЕМЕНЯТЬ ..С СИБИРИ НАЧНУТ ПРОБНО , НУ ..И ДАЛЬШЕ ПОЙДЕТ УЗКОГЛАЗЫЙ АЛЬФА- САМЕЦ !!!! ПУТИНУ ПОНРАВИЛОСЬ ! ВЫГОДНАЯ СДЕЛКА !!!"
22,"RT @55privet555: Как меня только в детстве и молодости не называли- и узкоглазый и чукча и китаёза...
Ну теперь то мы, с товарищем Си, науч…"
