,tweet
0,"@Miklyxa1 Я не курю, фашик)"
1,"@TatjanaVnn @wiafok5G @SIKORA_slava а ті думаешь нет фашик) когда твоя грзножтпия пад'т, новій нюрнберг обяжет твит сдать базу и таких как ті будут числить за денюжку) как на диком западе)"
2,"RT @Alex_KR71: Я ж попереджав - скоро оміняти хату в бєлгородє на мішок цибулі буде ну дуже великою удачею

Zero tolerance 

#жрите

©Фашик…"
3,"@Mr_Multibite Та це ж просто хтось з персоналу русня, або фашик)  але звісно треба завжди таке виправляти"
4,"@TatjanaVnn Фашик, ему не надо близко подлетать, он оттуда видит весь крым и половину твоей параши."
5,"@RocxyRKR @eenemonemo Месячная продукция этих заводов уничтожается за день. Не вижу проблемы.

Кстати, фашик, а почему они пашут сутками? Куда-то подевались бесконечное наследство фашистского совка?)

С НАТОй они воевать собрались, лол."
6,"Я ж попереджав - скоро оміняти хату в бєлгородє на мішок цибулі буде ну дуже великою удачею

Zero tolerance 

#жрите

©Фашик Донецький https://t.co/36xKqLZI6y"
7,"@kemonoso @svtv_news отличная альтернатива лукашизму
И вообще, русс-фашик - шуруй лучше в военкомат - а то СВО тебя заждалось"
8,"@OlioDon Фашик, не хрюкай 🐷 https://t.co/cGN3tryMPD"
9,"@AN_Popov Бедненькие, в три смены очко себе рвёте, собираете дюжину драндулетов в месяц за хер без соли, чтоб их ваши хозяева все пустили на металлолом за 1 потешную атаку)

Не фашик, тут никто вас жалеть не будет, во вконтактик выкладывай."
10,"@eavdeev2012 @Aleksanlls_ss @bbcrussian Если кто-то умнее тебя, то это не повод записывать кого-то в украинцы.
Итак фашик, спрошу ещё раз: почему ссышься за родину идти помирать?"
11,"@eavdeev2012 @Aleksanlls_ss @bbcrussian Твоя истерика никак это не остановит, фашик. Иди лучше чмобилизуйся, твоему хозяину нужно свежее мясо на фронте ато прошлая партия почти полностью подохла."
12,"@mironov_ru 😂 фашик, или как сейчас говорят: рашик"
13,"@Miklyxa1 Не хами, фашик, это юмор)"
14,"@Aleksanlls_ss @bbcrussian Кинут? Всё по закону, фашик. Нанесли ущерб-средства конфискуются в уплату ущерба."
15,"@hlopchyk_ @bulochka_ksu Фашик недобитый, стыдно, что беларус"
16,"@Kolbasa_Bes Спасибо за признаниее незаконного вторжения и полной вины твоей фашистской педерации.
Что-то ещё промямлишь, фашик?"
17,@leo_sosnovsky @rus_in_tbilisi Нихуя ты фашик...
18,"Хорошо, что я у этого (Миронова) уебана в бане.
Этот долбаеб не перестает кринжевать 🤦‍♀️

Почему все Мироновы такие ебанутые?
Один zетник-фашик справедливорос.
Второй либерал, который какие-то дела с ФБК мутил. https://t.co/OXcNbrXZGl"
19,"@ElSperanto @kazdalevsky А у тебя говно в никнейме. Но не будем делать поспешных выводов. Или будем, фашик?"
20,"@pet_vasilij @Sergey31777777 @dw_russian Один уже пытался... и до него тоже. Так что... учи матчасть, фашик!"
21,"@Kolbasa_Bes @Klaus8819 @KseniaDeryavska @Jam_0s @nabts1 Вы подписали бумагу, по которой гарантировали неприкосновенность границ Украины. Вы её нарушили, тем самым сняв всякие обязательства с Украины. 
Все претензии адресуй своему хозяину, фашик."
22,"@Kolbasa_Bes @Klaus8819 @KseniaDeryavska @Jam_0s @nabts1 А куда она денется, фашик?"
23,@Po4wKdKhuP1FRuG ага фашик) геренг возбудил уголовку против нюрнберга примерно тоже смое) е..ть грязжпые орки упоротые))
24,"RT @JMnenonik: ""видео с позиции русаков

Российские попы в погоне за ""священным долгом"" и ""священной"" войной уже перешли все границы и приз…"
25,"""видео с позиции русаков

Российские попы в погоне за ""священным долгом"" и ""священной"" войной уже перешли все границы и призывают к прямому уничтожению детей

Так где нацисты?""

Фашик Донецький. https://t.co/3xmKC8xa98"
26,@Dishechka_04 Шарий дырявый фашик.
27,"Этот чел, судя по всему, сербский фашик, там таких мразот просто полно, даже не тратьте время на этих ничтожеств https://t.co/2Yawbpe4GX https://t.co/Doo7B0XLvo"
28,"@skovalyov @jacksonhinklle Смотри не лопни от натуги, фашик"
29,@lenkabondarenka @kommersant настоящий клоун это Зеленский а не Медведев!он сук даж по образованию комик!а по натуре фашик...
30,"@Diksha86027048 @kommersant он тебе не димон,А дмитрий анатольевич! это зелю можн назыввать там просто нацик или фашик,как угодно."
31,"@Sveta19344148 @IRISHAVIN Как тебе повезло, что он в одном лице фашик и нарик"
32,@RedCatSolomon @AdvokatKovrov @dw_russian Может прилеты от ЗСУ и есть искоренение фашизма? Каждый мертвый русский фашик освобождает территорию
33,RT @Analytic_center: @Andy021101964 Фашик десь розкопав.
34,@Andy021101964 Фашик десь розкопав.
35,"@red0987654 @edolbunov @YobstodayPerviy В названии столбца первое слово - ""ПЕНСИИ"".  Это ты не можешь его прочитать, фашик. Всё тянешь сову на глобус, пытаясь доказать, что это что-то другое. И одновременно по́ртишь опять свои штанишки."
36,ну вот докукарекался очередной рский фашик) работает тви главное пилите страйки на английском! https://t.co/rDoPaLk5UX
37,"@iamalexy1 Когда уебан всё закончиться то тебя не будет, но тебя и так нет …. А всё это сплошная ВАТА и фашик !"
38,"@red0987654 Именно, фашик. Советская каторга - это другое. Можешь ознакомиться в Указе Президиума Верховного Совета СССР от 19 апреля 1943 года за подписью Михаила Ивановича Калинина - для кого она. Ты, тварь, оправдываешь преступление карателей, которые сожгли Хатынь."
39,"Ща вот узнала, что россиянин - это гражданин РФ и не обязательно фашик, а вот русский - это человек, который выбрал быть фашистом, потому что идеология. Смотрю на строчку национальность в своем свидетельстве о рождении и не понимаю когда же я свернула на путь фашизма.🤔"
40,"@bocharik Китай знає, що робить. фашик, вішайся😉😁😁 https://t.co/pze7nA3jM3"
41,"@bocharik фашик, як там ваше ППО , знову не працює😁😁😁
А то що ти там карлякаєш🤣🤣🤣фашик, 123 країни арештують ху@ло,  як воно туди прилетить. Вішайся фашик😉😁

 https://t.co/cchFejczxi https://t.co/NigaNhjghG https://t.co/yaK7JKl6Ta"
42,@I_am_Iliya @bachikiii @umay__fm Фашик очередной!
43,"@bcYUJXPfgaKWbp4 @a16846040 @ahatan1970 А кто говорит про всю, фашик? Вроде чётко и ясно сказали, что четверть вашего биомусора уже гниёт."
44,@Leon10Leon9 @romsea1 @denezhken Ты фашик что ли? Пидрилкина гармошка? Иди в абрамс
45,"@US_progress У тебя президент еврей, ты зачем про Давида в таком ключе? Разживаешь? Нацик? Сразу видно откуда пишешь, фашик"
46,"@AzarovNikolay_ А за что русские пидорасы, твои ебливые друзья, пизданули по Запорожью?  Бендеру блять убивали в многоэтажке? Долбоебина ты тупорылая. И Хатынь мы вам не забудем, и Запорожье, помни это, фашик ебаный. https://t.co/Qk4TBkAqa7"
47,"@individ_a @the_ins_ru Всё очень просто, фашик:
1. Снести мост.
2. Топить любое корыто, что попытается зайти в порт.
3. Сбивать рахолёты, что пересекают границу.
Всё.
Петушня оттуда голышом вплавь драпать будет как из Херсона."
48,"@hrundel13 @HmuriyVangur Точно, красно-коричневая падаль души не считала. Ну а про ПМ красное сосало лучше не открывать. Если бы ульянов не подписал капитуляцию перед ПРОИГРАВШЕЙ в войне Германией, то ВОВ и не было бы.
Под плинтус, фашик."
49,"@wpc103bureau Ти реальний довбойоб, фашик. Я ніколи не дрочив на пітєр на відміну від тебе. А те що ти закликаєш вбивати людей це твій діагноз. Мені гидко бачити що ти на українській пишеш і позориш націю."
50,"@wpc103bureau Ти дибіл в квадраті 😂😂 Фашик , сфоткайся як ти зігуєш на хуйла"
51,"@stww7 @bocharik І тут фотошоп, і знов фотошоп 🤣🤣🤣 
фашик,  вкладаємо вас й далі⚰️😁 https://t.co/ceCe0pcNGf"
52,@supersuka1995 блин я реально фашик https://t.co/b0UlR1QBzO
53,"RT @SvitTetiany: @bocharik фашик, на ваше ху@ло видан орден на затримання, за воєнні злочини. Так що пиши що завгодно, це вам фашикам все о…"
54,"@Vitaly2403 Слух, фашик, а как так получилось, что маленькая Украина с гомеопатической капелькой возможностей запада имеет во все дырки твою аналоговнетную фашисткую парашу, которая собиралась со всем НАТО воевать?"
