,tweet
0,"@Max05413861 @AntiMydn @dw_russian Что с ебалом, хохол?"
1,@Alex_1981_andra Хохол что ли?
2,@cat_fish1062 @svitvik1 Мечтатель-хохол
3,@Rolandirebyata Хохол захрюкал
4,"@frmPFHOYKhUBtUL @ian_matveev Хохол, ти б теж дивився куда ходиш і де сідаєш, бо може чоколалка там буде :)"
5,"@frmPFHOYKhUBtUL @prof_preobr Хохол, який говорить пропагандистськими штампами рашистів  - доказ, що прродавшися Москві, мізки відбирають"
6,@KirillOmelchen2 @GSkream он хохол
7,"@frmPFHOYKhUBtUL @s_baskak Хохол, тобі яка різниця до чужих грошей,тим ж отримав 30 срібняків від окупантів"
8,"@frmPFHOYKhUBtUL @affigget_Z @aleksejtank1820 Хохлушка, яка блокує людей за незручну правду щось казкує, а хохол нагадує про ідеали російської нацизму

Епічно"
9,"@US_progress @AgentKremlja когда родился казах, еврей и хохол заплакали, а русский засмеялся"
10,"@frmPFHOYKhUBtUL @ilya_shepelin Хохол, для тебе фюрер Ху Йло путін лише один"
11,"@frmPFHOYKhUBtUL @RocxyRKR Хохол, твоя доля любити окупаційну владу московії, якій ти продався та молитися на Ху Йла путіна"
12,@brylow1991 Так эта свинья тоже хохол))
13,"@frmPFHOYKhUBtUL @Justesume @SamDaryan1 Хохол, ти краще йди помолися на свого нового фюрера Ху Йла путіна"
14,"@frmPFHOYKhUBtUL @potreshim Хохол, він проти російських нацистів 21 століття - рашистів"
15,"@umay__fm Я вообще хохол, но в целом мы тоже имперцы, да"
16,"@pan_dok @turbanbazarova @Morenabrunett Хохол что ли, судя по фамилии?"
17,@vadimkouf @zupa_blyat Типовий хохол😅
18,@FastidiumEstQui @R1ght_Now Если на улице крикнуть «тупой хохол» тоже не примете близко к сердцу? ☺️
19,"@frmPFHOYKhUBtUL @artikh @RocxyRKR Хохол, я бачу що ти почав бачити нацизм у своїх господарів, яким продався за 30 срібняків)))

Не біда, скоро національні республіки звільняться від московського колоніального гніту і заживе норм Московія

Чекайте"
20,"@frmPFHOYKhUBtUL @PulseOfUkraine Хохол, коли московія визнає результати референдуму в Татарстані і москва виведе окупаційні війська з республіки?"
21,"@frmPFHOYKhUBtUL @RocxyRKR Хохол, це ти себе так підбадьадьорюєш?

Слідкуй за московією"
22,"@frmPFHOYKhUBtUL @RocxyRKR Хохол, я бачу ти все ще віриш, що московити з Америкою та НАТОю воюють, але біда - українці розбили професійну армію невизнаної рФ, то тепер вже цивільних на окупаційну війну посилають"
23,"@frmPFHOYKhUBtUL @Ulianalive Хохол, таке тобі до вподоби - диктат нацистів, тому й продався ти окупантам"
24,"@frmPFHOYKhUBtUL @ahatan1970 Хохол, ти диваєшся все ще, що московія, якій ти продався - повне лайно?"
25,@AlexeyNemo @olesya_2701 А хохол не получится случайно?
26,"@Eugenia_Kh02 @psalam22 @PulseOfUkraine Вы не знаете, а верите )) Для знания вы слишком хохол и слишком далеко от круга тех, кто реально в курсе положения дел )))"
27,"@DDmitro76bek @yurachkivskyi @MatSci16 @CurrentTimeTv Хохол хуторской, тебе же сказано не кукарекай"
28,@chooseanother27 @SkiperKakao Пишет хохол из штатов🤣🤣🤣
29,@olesya_2701 На ходу переобулся! Истинный ебаный хохол.
30,"@Rodion40491234 @Bugor_TMB @aznslt @brewerov Хохол, хуле 🤷‍♂️"
31,@BuzzardNorte @KharkivTrol @Roman_of_Spades оно хохол.
32,@Megem61371558 @Natanielbs Хохол-это что? Русня вы видимо.Только они другие народы оскорбляют
33,@wada_awada @tired_milkshake АХАХАХАХ ХОХОЛ ГОВОРИТ О МЕТОДИЧКЕ БЛЯДЬ)
34,"@roman_grigoriev скорее всего,у них админ хохол,он всех банит☝️"
35,"@vfo_cdt @14eurobaza Очевидно, что Аска японочка. А вот Рэй хохол!"
36,"хохол без пизабольства считается русским.
""Украинская власть освободила бывших сотрудников спецподразделения МВД Украины ""Беркут"", так как не может подкрепить доказательствами выдвинутые против них обвинения в убийствах на ""майдане"" https://t.co/jiZU8Bf9eT"
37,"@political_tru @Dialog_UA И это пишет хохол, который думает, что ВСУ в силах перейти оборону РФ"
38,@Qub8d1337 @kontikfn @unghost3 надеюсь каждый контроллер хохол*
39,"@novikandrey190 @ru2ch Вот и типичный хороший хохол объявился. Ты наверное тот самый добрый эльф, противоположность орка? Что тут сидишь в российском дваче?"
40,"@ironfis52262756 @ag2mtvsk @svtv_news він не мокша, він ""хохол"" як він виражався у минулих постах"
41,"@teh_Moriarty @Makc_Hardy Да это хохол на фото, Луценко"
42,"@frmPFHOYKhUBtUL @dayanat01 Хохол, ти геть здичавів в московській сраці?"
