,tweet
0,@FinnsDNI Черножопый!
1,@MydadownstheADL @Anzhuuu Черножопый
2,"@MohammadKianme1 Ты почему не на спецоперации, черножопый?"
3,"@JuliaVKR @finanzru @BandurovV Можно возразить «демографическими провалами» в СССР после 2-й Мировой и в начале 90-х, да. Но тогда страна была «закрыта».
Посмотри, что стало с той же самой Францией? Париж, вполне такой «самый черножопый» город в самом центре Европы."
4,"@ITeterin @BolsheNeVovan ""Чурка черножопый"" это просто набор букв, ничего не значит, вы всё не так поняли"
5,"@DeBorgese405 Пидор черножопый, овцеёб"
6,@mistressofacat Черножопый шаман?!👀 Круто!!!! Тем более бывший  написал! )))
7,"@sti_l9 @KeyDatch Будет, тебе миллиардер, олигарх, и лидер партии так бегать, как черножопый негар! Фейк конечно."
8,"@prof_preobr Китай осуждает, но не прочь полакомиться пирогом. Да что полакомиться, сейчас он поглотит россию экономически, без единого выстрела. Но руzzкие со своими «узкоглазый, черножопый» далеко не продвинутся в дружбе с Китаем."
9,@hayasaka_aryan Она черножопый!
10,@bocharik Прикидывает на каком инструменте черножопый может сыграть хером...
11,"RT @may_blue12: @tuposlavandar Сразу видно профанов. Хачи - кавказцы ВСЕ, но грызуны - личный слюр, как чехи у чеченцев. Чурки - это выходц…"
12,"@tuposlavandar Сразу видно профанов. Хачи - кавказцы ВСЕ, но грызуны - личный слюр, как чехи у чеченцев. Чурки - это выходцы из ЦА. Чучмек общее обзывательство. Есть ещё пиздоглазый для азиатов и черножопый для смуглых людей. https://t.co/bOd7ujjjf5"
13,RT @alex_ayuzawa: @sauls_man @chav_aznable @KyriosGnostikos Иди нахуй черножопый!
14,@sauls_man @chav_aznable @KyriosGnostikos Иди нахуй черножопый!
15,"@realusamagutt1 @BalakPardesi @sahouraxo Non-dark Indian, still Indian?  все равно черножопый"
16,"@USApoRusski @SecDef Для всего мира?Бля черножопый вообще рофлит конкретно,ведь всем посрать на Украину,как на государство."
