,tweet
0,@zzzfffgdv Ну хоть не чурка
1,"просто почему-то полгода как меня левые люди хотят назвать «чуркой», что меня вводит во что-то непонятное. с другой стороны, что вы видите, с другой, главной: чурка? вы ебланы"
2,Окей гугл как объяснить подростку что использовать слово чурка это не ок или мне стоит просто подождать и это пройдет когда подросток станет старше
3,"Буквально каждый второй называет кыргызов киргизами зная что неприятно. Хамят кыргызам, что не собираются на нашем языке общаться. Да и слово чурка чего стоит. https://t.co/YTaBdZjnFU"
4,"@RussianKernel @djinn__rd @As_a_pan_I Ага, я же придумала называть хачами и чурка и не русских"
5,"@RikaCha20473940 вообще-то маты можно писать как угодно и как хочешь, я могу даже сама придумать какой-то мат и пусть только попробуют исправить. а этот чел что тебя обзывает чурка недоношенная вот и всё°^^"
6,@ArmakedonKata Чурка
7,С района поступил апдейт. Кроме фашистки я теперь ещё чурка нерусская.
8,"@Alex95709125 @nav1gatore Чурка ёбаная это то, что в твоё очко запихано"
9,"@Zhitnipalzhi Причём ну чурка, ну отсала у кого-то, ебать инфоповод, какое невероятное событие. Но подача такова, что вот да."
10,@Dark_SavanT @nav1gatore А чурка ебаная подойдёт?
11,@bibunnyyy Чурка
12,"RT @umay__fm: 🫡 ""стигматизированное из-за мигрантов"", прекрасная игра слов и подмена понятий. Слово мигрант, стигматизировано именно в РФ и…"
13,@konstantinbel15 Че за чурка на аве там?
14,"Ну и что с таким дефективным уродом делать?
Кусает одноклассников.., хоть и скрывают лицо, видно--чурка☝️
Поэтому и не любят в России чурок😉 https://t.co/8gFd6G5UR9"
15,"🫡 ""стигматизированное из-за мигрантов"", прекрасная игра слов и подмена понятий. Слово мигрант, стигматизировано именно в РФ и руссияне сами же стигматизировали его. Так же как и слово ""чурка"", это не мигранты его придумали и вложили в него уничижителгый смысл, а руссияне. https://t.co/0yXAg4uhdC"
16,"@ITeterin @BolsheNeVovan ""Чурка черножопый"" это просто набор букв, ничего не значит, вы всё не так поняли"
17,@vodenergetik Так она чурка-заброшенка?
18,@kidalarivz Чурка измохратина уже
19,"Чурка деп оздеры мал боп кетты. И то мал десем, корадагы малым ренжит https://t.co/JjrKu59VpG"
20,"@TinaArishina Слыш, чурка, мне шаурму в сырном и чай."
21,"@s_udaltsov Хрен с ним. Из-за таких, как это чурка и у корыта власти укреплялся маразматик обнуленный путин. Такие, как этот чурка и появились возможности у мерзавца путина предпосылки войны в Украине."
