,tweet
0,@LaraLar93023545 Шошоакэ - путинская дешевая шлюха. Реакция МИДа Украины - это реакция на путинскую дешевую шлюху.
1,"@wasdz0r @Berthold_Skull @antibot4navalny Питання в тому, що ви - народ-мразь, народ-підор, народ-шлюха, і такими були останні 400 років, якщо не більше
Тому пішов нахуй"
2,"@vita_minka1981 @malceva77729 Ох, даже просто научиться произносить основные матерные слова, это весьма нетривиальная задачка. 
Взять хотя бы ""хъахбай"" (что-то типа""шлюха, шалава"")"
3,@olapickaw1 @vrostae1 бля иди нахуй шлюха ебаная
4,"@MilanaMillss @dw_russian Так не разговаривай 😁
   И специально для тебя и про тебя поясню - если тьі шлюха копеечная, то єто не значит, что все вокруг такие.
   А теперь давись своей желчью и говном."
5,@dkiwiya_ @loveiskeks Шлюха здесь только твоя мать
6,@Katty_WestX @blowjob__ @WillBang4 @DP_DAP_Fan @TopAModels1 @Upthatass @Sweet_Pornstars @LegalPornoNews @AssRefocused @actrice_pornoX @videopornstar @wartraktor @ErivanEsc Роскошная шлюха🤤🔥
7,"@andsk773 @dw_russian Американская шлюха что-то там ""высказала""?
Это ж надо так народ смешить."
8,"покажите четыре ваши самые удачные фотографии, где вы себе нравитесь

Принципиально нравлюсь себе на фотках  ""ты здесь как шлюха"", ну а что, могу себе позволить 
Как последняя сюда попала не знаю, что с людьми делает работа в школе 😅 https://t.co/hpOmP11x7R https://t.co/tHOckqJP37"
9,@panpool_ Зато в лигу дотку кску валик и прочие штуки играть проще. Во всём есть плюсы. Мне когда говорят что у меня мать шлюха я начинаю жёстко ржать
10,@LasyMit блять да вы определитесь шлюха он у вас или просто дед в оверсайзе я нихуя не понимаю
11,"@pomantiqq Ты просто шлюха, а здесь в комментах перепись просто сказочных соевых куколдов"
12,"@igorkushnarev2 почему ""была"" ? она и осталась проституткой. там бывших не бывает. шлюха сшп."
13,"RT @shipper_huipper: «Она выглядела как шлюха, поэтому к ней и относятся как к шлюхе»

Запоминайте: 

Нельзя воровать кошелек у человека, е…"
14,"У меня было к-к-комбо. Сначала лет до двадцати отслеживали каждый поцелуйчик, каждый звонок и каждую минуту опоздания, чуть что - шлюха. Потом - ты ненормальная, сумасшедшая, замуж не выйдешь, потому что в 20+ все еще девственница. Сила давления одинаковая. https://t.co/Y6RpPMqMQf"
15,"@APUkraine 😁😁😁😁
У вас як не піздун то шлюха біля мікрофона"
16,шлюха
17,"@yoshkinkrot Шендерович конторская шлюха, зачем вы на него все время ссылаетесь?..."
18,@EvaseKos @R1ght_Now Фейерического долбоебизма хуторянка… )) Ты немецкая  поломойка или еще итальянская шлюха ?
19,"@gazzy64 @kostadkosta @ru_rbc шлюха, если бы Россия не считала украинцев за людей, то мы бы давно отгеноцидили их у себя, которые живут у нас уже больше 100 лет"
20,RT @areallady11: Настроение шлюха на кухне. Пошла печь блины) https://t.co/OWLTq99Rq5
21,"Играли с таксиным спаниелем, лаяли на соседского лабрадора. 

Слышали как девица, смеялась в телефон, что любит делать лесби вайб, а когда к ней подходят девы-отшивает, извините, я просто так, ахх
я обгоняя ее:
-вот ты шлюха 
И бежать
Це бабкин вайб 💅 https://t.co/28SSvhFXui"
22,@kamilla_karieva Почему шлюха в моей ленте?
23,"@asyalap1 @kamapark1 Как шлюха, но не как министр 😂"
24,Миссия ООН как продажная шлюха. https://t.co/2GRp9Di0Ga
25,"@panibratchik @Vicki712 @volohatenko Нещодавно до мене прийшла якась божевільна і написала, що я шлюха, бо в профілі накинула на Булгакова і що моє місце на панелі, бо я нічого не тямлю в літературі і культурі. Ну короче не догодила. І що саме смішне вона українка з Канади"
26,"@Andrej59292237 Какая то она скромная блть. Поменяла бы пол хотя бы, стала бы Аленом. Или негрой или небинарным гендерфлюидом. Или на одной ноге, без одной груди. Вот это было бы по европейски.А то как-то не демократично выглядит. Шлюха обыкновенная. А надо бы с огоньком....."
27,@Andrej59292237 Это просто пиздец🤦🏼‍♀️ Нуачо.. по карьерной лестнице пошла.. вся еэсовская верхушка проститутки.. так под пендосов стелиться профессионально.. мне кажется любого там копни либо шлюха либо пидарас🤷🏼‍♀️ всё прогнили до основания 🤦🏼‍♀️
28,"@AnneteScherer @Jam_0s Ты что-то попутала, дочь шлюхи. Гондон это твой папаша. Твоя шалава мать пила слишком много стекломоя и ты родилась без мозга. Ладно, прощевай, шлюха, Слава Усраине!"
29,"@AnneteScherer @Jam_0s Гондон это твой папаша, шлюха ты безродная."
30,@elen_de_len Был секс- шлюха!
31,"@Krakovskakolba1 @KonarkUA @PulseOfUkraine Десятидоллоровая шлюха, просто иди на хуй."
32,"@newslady19 Эй, путинская шлюха, а где был твой протест все те годы, что ты работала на систему? Не слишком ли спешишь примерять белое пальтишко, революционерка ссученая?"
33,"3.шлюха взбиралась на российский престол).
И вот глубинный народ с такой болью и муками 200лет очень старавшийся выучить новояз, а иногда и не очень, а то и вовсе не старавшийся ,а с удовольствием заменяя его любимыми ,емкими татарскими выражениями -как ему то теперь быть ?"
34,@Dmitrijkrull @stat_ros @GazetaRu Рузкая шлюха
35,@chumakova197522 @razlichatel @USApoRusski Десятидоллоровая шлюха ещё не съедена
36,@ussrlife Шлюха коммуняцкая
37,"@libsRcons @wallacemick Troll? Well you’re pulling out the big guns, huh, pусская шлюха. ✊💦"
38,"@elmisievichh Выглядишь, как шлюха очень красивая"
39,"RT @elmisievichh: Мужики такие «женщина должна выглядеть, как модель, трахаться как шлюха, готовить, как шеф, быть умной, эрудированной, са…"
40,@VVP2_0 Оле нужно чаще об этом говорить вслух - на её руках цистерны крови украинцев... конвеерная шлюха чекатилы
41,"Кашляю, как портовая шлюха 😰🤒"
42,"Портовая Шлюха by skkfic

https://t.co/EJMavwJEIz

#soukoku #doubleblack #chuuya #nakaharachuuya #dazai #dazaiosamu #bsd #中原中也 #太宰治"
43,@guy_mgl сам ты шлюха
44,"@R1ght_Now Он шлюха, блядина, что с нее взять"
45,@Nag1saofficial нагиса вообще лох конченный и обосрался и его никто не любит и мама у него шлюха
46,"Щас бы слушать как бывшая шлюха рассказывает мне как плохо все организовано у нас в конторе. Действительно, подать правильно заявление через работающий электронный сервис это ж нужно обладать особыми знаниями. Там даже поля подписаны по-человечески, а не как в налоговой."
47,"@i_army_org все время удивляюсь, что кто-то вообще еще слушает или читает шария, еще и обговаривает то что эта шлюха-аферистка высрет... люди странные"
48,"RT @myxa__228_: -ебать я набухался
-а у меня мать шлюха

комфорт"
49,"@weirdaya @doux_ox При чем здесь мизогиния ? Ты тупая ? Меня чуть в подъезде собственного дома не изнасиловали в 16 лет и блять спросите у любой жертвы насилия что это такое, и вам расскажут как до последнего сопротивлялись, а она просто шлюха которая предлагала отсосать ему еще в баре"
50,"@StrokePavel ça va vraiment vite...ты шлюха
https://t.co/vbkGIbuArs"
51,@Dpol_un Россия это старая грязная шлюха.
52,@sashakots а твоя мама - шлюха
53,"@SaintMontjoie Я не знаю, чем он там успел позаниматься до избрания, но тот факт что он вёл себя как шлюха путина о многом говорит. Явно есть что скрывать такому человеку."
54,"Хозяйка на кухне и шлюха тоже на кухне, потому что у тебя студия"
55,@BorisAbramich почему ты воспитала такую дочь что бегает по мужикам кто подаст ты тварь не написала шлюха может восптаь только шлюху
56,"шлюха-тайм, 🥱 #нюдсочетверг https://t.co/XJqElo1mF4"
57,@KVQuarantine Шо за шлюха?
58,"Зранку бомж сказав, що я буду щаслива, з гарним чоловіком і 3 дітьми
Пізніше бабка з сусідньої лавки в парку ні з того, ні з сього крикнула в пустоту: «ШЛЮХА»

Який обираємо гендер на сьогодні?"
59,"@TG_410 @M_Zagravsky Ти забув додати «меркантильна шлюха», дуже бідний словниковий запас в тебе. Мабуть бідніший за твій гаманець"
60,"@affigget_Z @Net_Mouse_spb Ты на рыбалке сидишь каждый день, или диплом пишешь?
 Может ты на очке сидишь, и пиздоболишь????
какая тут культурность, если ты,как шлюха,пишешь противоречия????"
61,"""лучше шлюха, чем наркоман""
(с) Мария Николаевна А."
62,@Niigata013 Шлюха!
63,@Niigata013 Извини тебя же зовут шлюха
64,@SumakovaPolina @McFaul А ты шлюха украинская. Вы все 💉 наркомани во главе вашим президентом Zеленским
65,RT @dfens3k: @narastroy69 @ustavschey Тьі хуй твоя мать шлюха
66,"я: не даю левому прохожему 300₽, потому что ему не хватает на билет 
он: орёт на всё Ленина что я шлюха"
67,@narastroy69 @ustavschey Тьі хуй твоя мать шлюха
68,@Niigata013 Шлюха!!!
69,@Niigata013 Шлюха ты. Еще раз говорю
70,@Niigata013 Че ты ведешь себя как шлюха опять?
71,"@neevtushenkov @StarshinaZapasa Ботик ноября 22,шлюха тут только ты"
