,tweet
0,"RT @Straruberry: ⭐️KIRBY STICKERS⭐️
♦️🗯️ #Persona5 Parte 3: Kasumi, Morgana &amp; Futaba 🗯️♦️

Take your heart!~ Como era de esperar al final t…"
1,"RT @Eric_Lostie: Gente, se ha descubierto que Pokémon Añil funciona en la última versión de Joiplay de Android dejando esta opción de Enabl…"
2,@gabrrlgh bolita de coco🥹
3,"RT @TinyPanthera: 🎶Soy una bolita, soy una bolita 🎶 🐩😅 https://t.co/CxfpS8PBkz"
4,Me haré bolita todo el día 🙌🏻
5,"RT @TinyPanthera: 🎶Soy una bolita, soy una bolita 🎶 🐩😅 https://t.co/CxfpS8PBkz"
6,"RT @Eric_Lostie: Gente, se ha descubierto que Pokémon Añil funciona en la última versión de Joiplay de Android dejando esta opción de Enabl…"
7,"RT @TinyPanthera: 🎶Soy una bolita, soy una bolita 🎶 🐩😅 https://t.co/CxfpS8PBkz"
8,"Hola , quiero hacerme bolita como Voldemort https://t.co/cmfNcm4ti5"
9,"RT @TinyPanthera: 🎶Soy una bolita, soy una bolita 🎶 🐩😅 https://t.co/CxfpS8PBkz"
10,Solo quiero estar hecha bolita y llorar😭.
11,"RT @TinyPanthera: 🎶Soy una bolita, soy una bolita 🎶 🐩😅 https://t.co/CxfpS8PBkz"
12,@ZisneroAlejo parece un bolita
13,"RT @TinyPanthera: 🎶Soy una bolita, soy una bolita 🎶 🐩😅 https://t.co/CxfpS8PBkz"
14,la forma en q se hace bolita esq es literalmente asi🤏🏻https://t.co/nVPF3XPl8B
15,QUE HERMOSO ES AAAA *SE HACE BOLITA* https://t.co/JkyJiWMQOW
16,"RT @Annie_483: 🐢 que NO tengan cuentas en W/eibo, Y/ouku, T/encent o /iQIYI, Lunarcito transmitirá el evento en T/witch. Por si gustan ver…"
17,"RT @TinyPanthera: 🎶Soy una bolita, soy una bolita 🎶 🐩😅 https://t.co/CxfpS8PBkz"
18,RT @LaDelAtico8: Buenos días vecin@s. Ayer perdí la bolita que llevo dentro del aro dl pendiente d la oreja. La dí por perdida hasta q lleg…
19,Felicitenme ya pude volver a escuchar Zoé sin sentir que me hagan bolita el corazón
20,@SIN24Horas “Eso era de mi hermano” punto bolita
21,RT @wynn______: a veces soy simplemente una bolita amarilla triste https://t.co/CqtX4vYfPw
22,Es una bolita ajajaj https://t.co/imZEqZqGrR
23,"RT @TinyPanthera: 🎶Soy una bolita, soy una bolita 🎶 🐩😅 https://t.co/CxfpS8PBkz"
24,"RT @TinyPanthera: 🎶Soy una bolita, soy una bolita 🎶 🐩😅 https://t.co/CxfpS8PBkz"
25,"RT @TinyPanthera: 🎶Soy una bolita, soy una bolita 🎶 🐩😅 https://t.co/CxfpS8PBkz"
