,tweet
0,RT @casa_hungara: Los franchute en la calle armandaola guapa porque un facha en micasines los quiere jubilar a los 64 años...y ustedes mira…
1,"@JuanVic95759799 Tu no, corazón, el franchute!😁"
2,"@Felguerinos Lilith lo ha heredado prácticamente todo de ese temple antipático natural gabachuá o franchute de su padre, y que se hace tan ajeno e intragable en las Españas, aunque se comprenda porque es antagónico."
3,@dandochola Los franchute en la calle armandola guapa porque un facha en mocasines los quiere jubilar a los 64 años...y ustedes mirando un hotel pal sur a pagar a COFIDIS con un interés 25%... #SiganBailando #NoMirenParriba
4,RT @casa_hungara: Los franchute en la calle armandaola guapa porque un facha en micasines los quiere jubilar a los 64 años...y ustedes mira…
5,"Esa horrible maña neoliberal de esconder los relojes carisimos del presidente Franchute, aqui en México conozco algunos con las mismas mañas.
Hay preguntas muy interesantes de este tema:

1. ¿cuanto cuestan?
2.¿si son comprados con el resultado de su trabajo, por que esconderlos?… https://t.co/QV9oRvzSF8 https://t.co/9RRw6xEniW"
6,"RT @mecojoantimessi: @MorelNi63205197 @lichimartinezzz @nocontextfooty Mi pija no te la olvidás más franchute 
⭐🌟⭐ https://t.co/DLY7NbHMdH"
7,"@fernandeznorona Si quisieras hacer una auténtica oposición, estarías hablando de la ""gobernanza mundial"" (evidentemente promovida por el franchute del Chelo), pero en razones de alerta, de la tecnocracia globalista que ya va por el crédito social chinesco por medio de la banca digital."
8,"Despacio franchute ,esto es oro 🙌 #Nites https://t.co/vJCRjkjo4W"
9,@RoiLopezRivas HAAA. BUE...! SE PUDRE TODO AL FRANCHUTE MACRON!!!...😳🤦
10,@Elmasiso8126 Va a quedar 5to el franchute
11,@LoboVGC silencio franchute
12,"@icetyflo @merrymarzi @AnkaraWessi @AlbicelesteTalk te sentaron franchute, ya está che"
13,@JulioCaballeroM @EmmanuelMacron Cómo buen zurdo el franchute es DOBLE MORAL.
14,@WarriorsLatam_ Todo es falta para en franchute berreta este
15,RT @JAVIER84453114: @OROSOLIDORedes @Amina_maktub @RoanaBuenavent1 @epigmenioibarra @ChelitoAmlover @FerCoronaG @Unbogo @alfredo81072805 @J…
