,tweet
0,"RT @diegoredondo13: Y la versión en gallego del Manifiesto ALVA por el Aprendizaje a lo largo de la vida adulta #congresoepa
https://t.co/W…"
1,RT @nefeerr: Necesitamos ser como Dinamarca país menos corrupto del mundo.  No que concejales del PP de un ayuntamiento gallego cobrasen di…
2,"@agustinciitoo29 @__yvngsosa @OutMessi_ Es terrible putaku el gallego, ni te gastes en responderle, te parece que puede llegar a opinar de futbol este personaje? 🤣 https://t.co/7Qv9UuNckV"
3,"@iescolar Me parece muy bien que le pida el comisario de la UE a Feifoo una oposición constructiva, pues como buen gallego nunca sabes si sube o si baja jajaja😡"
4,RT @nefeerr: En Suecia ministra dimitió por comprar pañales y chocolatinas con tarjeta oficial. Aqui concejales del PP de un ayuntamiento g…
5,"Mañana mismo me pongo a leer a:
Mo Yan, Gunter Grass, Víctor Hugo y Astrid Lindgren. (Espero encontrarlos en español o gallego, porque no tengo ni puta idea de chino, alemán, francés ni sueco)"
6,"@VinculeiroO @carloscallon @UniversidadeUSC De todas formas, los profesores de las universidades pueden dar la clase en el idioma que quieran, si todos escogen castellano, o al menos la mayoría, por algo será. Pero mejor obligarles a usar sólo gallego, y todo el que no quiera saber gallego fuera de aquí no?"
7,"Y la versión en gallego del Manifiesto ALVA por el Aprendizaje a lo largo de la vida adulta #congresoepa
https://t.co/WZ8HamCr3O"
8,RT @nefeerr: En el Reino Unido Johnson participo en una fiesta durante el confinamiento y tuvo que dimitir. Aquí concejales del PP de un ay…
9,"@souled_dark @juana_gallego @Araweel0Returns Tratar de silenciar y violentar a mujeres NUNCA SERÁ FEMINISMO. Luchar por los derechos de todas las mujeres SÍ. Y KJK lo hace y de manera muy valiente.
#LetWomenSpeak"
10,RT @GreenEllsworth: Remember this kind face.  He's going to take over Sinema's seat!  His name is Ruben Gallego https://t.co/JyR1tqsvQf
11,"RT @CarminaArias6: Si eres un delincuente afíliate al Partido Popular que allí caben todos ‼️
 https://t.co/CFDCBBWS8e"
12,@gallego_rodrigo It means you should take up checkers. 🤷‍♀️
13,"RT @pepinoceleste: @FodechinchosG Q cansino con Madrid macho,das vergüenza ajena.Deja a la peña en paz. Llegan a ser de Madrid los portus q…"
14,"RT @anyonewantchips: Kyrsten Sinema mocked Democrat senators as old dudes eating Jell-O, called House liberals crazy people &amp; wondered why…"
15,"RT @2010MisterChip: Jugadores españoles con mayor participación directa en goles (marcando o asisitendo) en La Liga 2022-23:

15 Iago Aspas…"
16,@AntonioGalleg0 Que Grande es Usted Señor Antonio Gallego.
17,RT @Alberto88818801: El #PP debe ser disuelto e ilegalizado...todos sus cargos corruptos y jueces prevaricadores detenidos y juzgados...no…
18,@XC_Gallego Gallego podría ser yo
19,"RT @SimonPerera: El artículo seguido de posesivo (como en gallego o catalán), que tiene ese regusto antiguo en español y sobrevive en algun…"
20,"RT @marin_blazquez: ""este totalitarismo blando, paradójicamente, lejos de aminorar su alcance resulta ser «infinitamente más grave en sus r…"
21,RT @Alberto88818801: El #PP debe ser disuelto e ilegalizado...todos sus cargos corruptos y jueces prevaricadores detenidos y juzgados...no…
22,RT @LenaEscribe: @gallego_olmes Bien día Olmes😘
23,"No se de que os sorprende. El PP madrileño es basicamente el típico partido amarillo de Renew Europe en todo menos apariencia y tendencia a pactar con la derecha populista.

No es democristiano ni el PP gallego, lo va a ser el madrileño. https://t.co/wjKXLp7Ldv"
24,Rotunda oposición del ecologismo gallego a los parques eólicos marinos por su daño a la biodiversidad https://t.co/kfHkuHtbfK vía @rebeldesenlinea
25,@sabelaleiro_ y ayer no le hablaste gallego
