,tweet
0,RT @vulgomagrela: 0 ânimo pra idéia torta
1,RT @kagstones: hoy termine de entrenar y me comí dos porciones de torta https://t.co/jlkdF4czjA
2,"RT @KagamiCiel: Yo me pongo detrás para que no me molesten, lo malo es que no veo ni torta, total tampoco es que me entere en clase porque…"
3,"quão prendado você é?
sei fazer: atualizado ;)

✅arroz 
✅macarrão 
✅bife 
❌feijão
✅carne cozida 
✅frango frito
✅torta de limão 
✅ovo frito
✅bolo
✅brigadeiro (flui entre de colher e de quebra crânio 
✅pipoca 
❌pudim (nunca tentei
✅torrada 
✅strogonoff 
✅brownie https://t.co/hF7e6JvsLE"
4,"quão prendado você é?
sei fazer: 

✅ arroz 
✅macarrão 
✅bife
❌feijão
❌carne cozida 
✅frango frito
❌torta de limão 
✅ovo frito
✅bolo 
✅brigadeiro 
✅pipoca 
❌pudim 
✅torrada 
❌strogonoff 
✅brownie https://t.co/1O9GlIN8ds"
5,The Best Italian Ricotta Crumble Cake – Torta Sbrisolona https://t.co/GvEt9oE27m
6,"quão prendado você é?
sei fazer: 

✅arroz 
✅macarrão 
✅❌bife
❌feijão
❌️carne cozida 
❌frango frito
❌torta de limão 
✅ovo frito
❌bolo 
✅brigadeiro 
✅pipoca 
❌pudim 
✅torrada 
✅❌strogonoff 
❌️brownie"
7,especial para las torta fritas
8,"RT @ale_gab27: Ustedes ven esa torta de ahi, toda bella toda preciosa? Bueno la hice yo, mucho gusto :p https://t.co/vReImPL1zS"
9,"quão prendado você é?
sei fazer: 

✅❌️arroz 
✅️macarrão 
✅️bife
❌feijão
❌carne cozida 
✅️frango frito
❌torta de limão 
✅ovo frito
❌bolo 
✅️brigadeiro 
✅pipoca 
❌pudim 
❌torrada 
❌strogonoff 
❌brownie"
10,@gomaxxx Jajajaj Que imbecil la torta alemana
11,RT @Fede_Bern: Amigo te hicieron una torta https://t.co/5llVC8wjuU
12,"me dormí anoche, al final no se cayó la torta ?"
13,"RT @Karina88579958: @eeemiliano Pensé que la sorpresa era música en vivo algún artista, Nicky,trueno wos ,bizza algo!!!! Pero es un desastr…"
14,"Señor benemérito presidente de nuestra Republica cada vez más bananera del Uruguay, necesito saber que traía la caja que “no es el pescado” según Astesiano! Tenga el bien de comunicarlo, yo también quiero torta!!!"
15,"RT @iscaramuzzi: Nel 1775 Pio VI proibì agli ebrei di rivendere latte ai cristiani ""benché convertito in cacio o in altra sorte di latticin…"
16,@Mafaldi33394577 Y van a caer mucho del gobierno que así seguro hay que empezar a denunciar porque se le va a dar vuelta a la torta y por otra cosa aunque sea van a caer
17,"La mia “putana veneta”, che non è una signorina dai facili costumi del nord est, ma una torta rustica fatta con ingredienti di recupero https://t.co/mJGOekS7gh"
18,@baddog090909 @ndurancoronado Así fue la marcha del 26 de febrero  aparte solo que nadamas les prometieron torta. Frutsi y 200 pesos pero no les dieron ni madres por eso a los cinco minutos de llegar al zócalo se fueron corriendo todos a su casa a pero eso sí Iván bien instruidos y aconsejados https://t.co/JSCWEFhEdP
19,"RT @matt4funy: #PINTOSAWARD 
#PINTOSAWARD 
alguém aí gosta de rola torta? hehe https://t.co/DkvnkSvK14"
