,tweet
0,@UmarYasinPAK @RanaSanaullahPK مریم رنڈی دے دلے بچے
1,@Marriyum_A رنڈی خارشی کتیا https://t.co/R5DYRK08ua
2,"@Marriyum_A وہ رنڈی خارشی زدہ کتیا جو 24 گھنٹے نان سٹاپ توشہ خانے پر بھونکتی تھی
وہ خود گھڑی چور نکل ائی https://t.co/qoHFUFMRps"
3,@AminaZareen1 یہ لوگ ن لیگ کی مریم صفدر کو مصر کی رنڈی سے یاد کرتے ہیں جس کے کہنے پر ٹرانسفر اور پوسٹنگ ہوا کرتی تھی اس کے ماتحت پورا سسٹم تھا جیسے آج کل مریم کے نیچے ہے https://t.co/JHgveUnOEz
4,RT @ShahKha16323341: @MaryamNSharif تمہاری چھود کی بھی سجری کرنی چاہیں  کیو نکہ غدار فوج نے پہاڑا ہوگا نہ خاص کر ڈرتی ہیری بے غیرت کے بچے ن…
5,@MaryamNSharif تمہاری چھود کی بھی سجری کرنی چاہیں  کیو نکہ غدار فوج نے پہاڑا ہوگا نہ خاص کر ڈرتی ہیری بے غیرت کے بچے نے تو بہت ظلم کیا ہوگا نہ رنڈی عورت کاش تم ضلع دیر  اجاو  تمہاری اندر میں پورا 40 سوراخ  کرلونگا انشاءاللہ رنڈی عورت https://t.co/gMl3UnkAjG
6,"@iqrarulhassan اقراء الحسن نے جو جانباز کے نام سے کوئی تنظیم بنائی ہے ہو، وہ فلاحی کاموں پر توجہ نہیں دیتی، لیکن رنڈی بازی شوق سے کرتی ہے
     مینار پاکستان میں عائشہ نامی لڑکی کی شلوار اتارنا بھی اقرار کے گماشتوں کا کام ہے"
7,RT @TabiCh_DxB: کوئی کنجر حافظ  ، دلے شہباز شریف، رنڈی مریم نواز، خنزیر فضل الرحمن اور بیغیرت بلاول کو اس مجبور عورت کی بد دعائیں سنوائے عر…
8,@ImaanZHazir ابھے چپ رنڈی کی بچی
9,@MAbdullahGul @FarrukhHabibISF یار تم رنڈی کے بچے لبیک والے اپنی ماں چدانے ا جاتے ہو بھوسڑی کے پہلے اپنی امی مریم کا انٹرویو دیکھ پھر ماں چدا لینا مجھ سے میں ادھر ہی ہوں
10,@NawazSharifMNS رنڈی کی اولاد
11,@MaleehaHashmey چپ کر رنڈی کی اولاد تجھ جیسے ٹیریان کے بہن بھاٸی ھمارا روزہ بھی خراب کرواتے ھیں
12,RT @MuftiMufta: ایک عرب دانا عورت نے اپنی بیٹیوں کو نصیحت کی کہ ان سات قسم کے مردوں سے کبھی شادی نہ کرنا چاہے ان کے پاس مال و متاع کی کمی ن…
13,مشرف کی رنڈی۔ https://t.co/yuiDk28VuY
