,tweet
0,RT @kiran_Naaz11: تحریک لبیک والوں کی دکانوں کےساتھ عمران گورنمنٹ نےیہ حال کیاتھا۔PTI کوچند ڈنڈے کیا لگےکہ عراقی و افغان مسلمانوں کاقاتل ام…
1,RT @NadeemMalik3975: یہ ظلم رمضان،2021 میں TLP پر ہوا۔نہ زلمے خلیل بولا،نہ یہودی رکنِ کانگریس بریڈ شرمین،نہ امریکی قادیانی رکنِ کانگریس ڈاک…
2,RT @kiran_Naaz11: تحریک لبیک والوں کی دکانوں کےساتھ عمران گورنمنٹ نےیہ حال کیاتھا۔PTI کوچند ڈنڈے کیا لگےکہ عراقی و افغان مسلمانوں کاقاتل ام…
3,RT @kiran_Naaz11: تحریک لبیک والوں کی دکانوں کےساتھ عمران گورنمنٹ نےیہ حال کیاتھا۔PTI کوچند ڈنڈے کیا لگےکہ عراقی و افغان مسلمانوں کاقاتل ام…
4,RT @kiran_Naaz11: تحریک لبیک والوں کی دکانوں کےساتھ عمران گورنمنٹ نےیہ حال کیاتھا۔PTI کوچند ڈنڈے کیا لگےکہ عراقی و افغان مسلمانوں کاقاتل ام…
5,"قادنیت کا مرکز ربوہ ۔
اے مسلمانوں آٶ اور دیکھو ربوہ  سنسان ھے ۔کل رات سے ھی ھر قادیانی فیملی لاھور کی جانب رواں ھے ۔کیوں کہ ھر قادیانی کو اوپر سے حکم ھے ھر صورت عمرانی فتنے کا جلسہ کامیاب کرنا ھے ۔
ھر وہ مسلمان جواب دہ ھوگا  کیوں نبی مُحَمَّد ﷺکے دشمنوں کی صف میں شامل تھا ۔"
6,RT @Riaz_Hussain77: یہ وہ قادیانی ڈاکٹر آصف محمود جس کا ذکر مولانا فضل الرحمن صاحب نے کچھ دن پہلے بھی کیا تھا اور یہ وہ ہے جس کیلئے عمران ن…
7,RT @Riaz_Hussain77: یہ وہ قادیانی ڈاکٹر آصف محمود جس کا ذکر مولانا فضل الرحمن صاحب نے کچھ دن پہلے بھی کیا تھا اور یہ وہ ہے جس کیلئے عمران ن…
8,"RT @KNmedia64: خوشخبری 
شمالی لاہور کے ایک قادیانی نوجوان الیکٹریکل انجینئر طاہر احمد نے فتنۂ قادیانیت پر لعنتیں ڈال کر مجاہد ختم نبوت پروف…"
9,RT @kiran_Naaz11: تحریک لبیک والوں کی دکانوں کےساتھ عمران گورنمنٹ نےیہ حال کیاتھا۔PTI کوچند ڈنڈے کیا لگےکہ عراقی و افغان مسلمانوں کاقاتل ام…
10,RT @Vezemeer: کچھ بھی کرنے کا تھا قادیانی چیف کی ایگو ہرٹ نہیں کرنے کا تھا۔
