,tweet
0,"اگر کوئی صحابہ اکرام کو کافر کہتا ہے تو کائنات میں اس سے بڑا کافر کوئی نہیں 
درس قرآن بسلسلہ رمضان المبارک / علی اسلامک سنٹر جھنگ  
https://t.co/K7qelDCmop…مکمل بیان یوٹیوب پر 👆
 #دختر_رسولؐ_سیدہ_فاطمہؓ
Sayyeda Fatima Batool r.a
#Islam #Ramadan #Quran"
1,@Ziaurhmanazhgar دی ملت دوه غوښتنو او حقوقو ته احترام وکه د خلکو زړونو کی به بیا بل شان جای پیدا کړی ، د خویندو تعلیم او ملی بیرغ، یقین وکه که امارت بیا ټاکنی هم ومنی ګټی به یی ، دی نه علاوه والله یوالی راولی بلکه همیشه به د کافر سلاح ته په تمه یو
2,RT @usamaLondon: @ImranKhanPTI وَإِذ یَمۡكُرُ بِك ٱلَّذِین كَفَرُوا لِیُثۡبِتُوك أَویَقۡتُلُوك أَوۡ یُخۡرِجُوكَۚ وَیَمۡكُرُون وَیَمۡكُرٱل…
3,"رساله  واضحه لدول التي تنحكم في قوت شعبها """" الجوع كافر"""""" https://t.co/bFRwuFGJNo"
4,"@Nightking9983 @reza_yerevan مومنم کردی به عشق و‌جا زدی تکلیف چیست؟
 برمسلمانی‌که کافر میشود پیغمبرش...."
5,@sobhan_70 @fa_favstar مردم به بدعت گذاری شما کافر شدن کصکش
6,اس آرمی میں کچھ کافر لوگ موجود ہیں اور ان کافروں کو مارنے کے لیے اللہ تعالی نے واضح حکم تھا فرمایا ہے یہ ہمارے اسلام کو گرانا چاہتے ہیں ہم ان کافروں کو ماریں گے ان شاء اللہ https://t.co/35RuJBAxxq
7,RT @SuhailA46470382: ایک کافر اورایک مسلمان https://t.co/wIFDznoHly
8,"@abdeen_abobkr طلع كافر عدييييل عشان ال300 جنيه 😂😂😂😂😂😂😂😂😂😂😂😂
امس قاعدين في المسطبة بعد الافطار صاحبي قال ديار 500 جنيه سريع واخوي رد ليهو والله لو عندنا م كان جينا قعدنا معاك قعدة المقطعين دي سجارة مخمسنها تلاتة انفار"
9,@alishaah_3om نمیدونستم فالور کافر هم دارم :)
10,"RT @moavia_official: اگر کوئی صحابہ اکرام کو کافر کہتا ہے تو کائنات میں اس سے بڑا کافر کوئی نہیں   
https://t.co/m1pdFE8i8P…مکمل بیان یوٹیو…"
11,"در دین تازه ای که آقایان مبدع آن هستند حفظ ظواهر ،  ملاک دین داری و بی دینی بوده و ملاک پذیرش اعمال ، منطبق بودن با خواسته های شخص و سلیقه حضرات .
قرآن بخوان ، روضه بخوان ، روزه بگیر ،ولی تابع آن ها نباشی کافر هستی و همه چیز برای شما ممنوع. دیدم که میگم . علیمی https://t.co/Cxedce2CsU"
12,"RT @AmarkhilJalal: د روژې دریم تعقیب

القران الکریم

ای د ایمان خاوندانو مه نیسئ زما او خپل  دښمن په دوستۍ سره ( یعنې زما او ستاسو له ګډ دښ…"
13,RT @Syada56491001: ہمارے ایک شوگر پیشینٹ کی شہادت کیسے ہوئے اور اس کےبھائی کےساتھ کیا کیا آج ان کو تو ایک فیصد بھی کچھ نہیں کہا گیا ہے جو ظ…
14,"RT @MSamiUllah_786: افطاری کےلئے ان کمپنیوں کی پروڈکٹس سے اجتناب کیجئے
کیوں کہ یہ گستاخ رسول منکر ختم نبوت جھوٹےمدعی نبوت مرزا غلام قادیانی…"
15,"@RealWaqarMaliks مغربی کافر اسی لیے تو ترقی کر گئے کہ وہاں انصاف بکتا نہیں ملتا ہے !!

اور مشرقی مسلمان اس لیے گھاٹے میں رہے کہ یہ انصاف بیچتے ہیں دیتے نہیں ۔۔۔"
16,"RT @aboanas_4: سأل شابٌ رجلاً صالحاً:
""إذا كان الدجال مكتوباً على جبينه (كافر) 
فلا أعتقد أن يتبعه أحد؟!
قال له: ""علبة السجائر"" مكتوبٌ عليه…"
17,ئەمەش بۆتە هۆی داڕمانی وەلاء  بەڕاء ی مسوڵمانان کە ئەگەر وەلاء بەرامبەر مسوڵمان نەبێت و براء و بەرامبەر کافر و موشریک نەبێت ئەوە لە ئیسلامدا بە مسوڵمان هەژمار ناکرێت.
18,"RT @iAimalKhan_: میں گواہی دیتاہوں کہ مرزاغلام احمدقادیانی جھوٹامدّعی نبوّت کافر ہےاور کذاب ہے.
اسکےتمام ماننےوالےکافر ہیں اور دائرہ اسلام…"
19,@Bader76799399 @aldhiker يقصد الانسان  كافر بالنعمه
20,"RT @hoseindehghan69: کافر آن نیست که ""خدای تو"" را نمی‌پرستد و ""آداب تو"" را ندارد، در هر شکل و لباسی که باشد.
کافر آن است که ""حق‌پوش"" است و…"
21,فعلا خسيس، حقير، وضيع، قاتل، مجرم، سفاح، حرامي، قطاع طرق، نصاب، جاهل، أمي، حمار، تافه، أبله، مجنون، مختل العقل، مريض النفس، جحش، فاشل، طماع، انتهازي، شعبوي، مكيافيلي، شيطاني، جشع، أناني، كافر، دموي، إجرامي، مراهق، عبيط، إرهابي، سخيف، أهبل، صبياني، عاجز، مخصي، يجب دحره فورا. https://t.co/zxI78dWgOE
22,"قحبه عاهره ممحونه رخيصه كافره مفاجره متدينه منقبه شريفه زنا محارم سب لعن
⁧ ⁧#ليز⁩ ⁧#فويس⁩ ⁧#ميقا⁩ ⁧#كلبه⁩ ⁧#عمه_ساديه⁩ ⁧#عمه⁩ ⁧#معصيتي_رIحتي⁩ #ديوث ⁧#قحبه⁩ #كافره⁩ ⁧#كافر⁩ ⁧#كفر⁩ ⁧#فجور⁩ ⁧#فاجره⁩"
23,"@No5886or @FaisalAlFarhoud أخت المختار بن أبي عبيد كانت تحت ابن عمر، ولكن هذه كانت من
( العابدات الصالحات الصادقات وماتت في حياة زوجها, وكان مكرمًا لها ) 

فما دخل اخت الكذاب بالكذاب !! 

ولو تنزلنا لقلنا النبي ﷺ تزوّج بابنة يهودي ، وابنة كافر ، ( فهل سنقول ""كيف ينقضي عجبي!!""))"
24,هالوقت لو تغرد شي مو عن رمضان يحسبونك كافر.
25,"تبارز علي بن ابي طالب مع كافر في غزوة الخندق
فأسقط علي الكافر ارضا وهمّ بقتله
ف بزق الكافر في وجه علي
فرفع علي سيفه وتركه
وعندما سألوه وقال: كنت ابارزه لوجه الله
وبعدها خفت ان يدخل في قلبي نيّة ان اقتله لأجل نفسي.
~
( كيف كانت عقيدة وايمان هؤلاء البشر )❤️

 #رمضان٢٠٢٣"
26,المطوعه اللي تستشرف عليهم وتقول الزنا حرام وهي خرقها وسيع ويصب مني ابيها تجي  تحت زبي تنصحه تترجاه يتوب وانا ساحب نقابها وافرك خصاي بفمها وتافل بعينها ولسانها طويل ما تسكت واتفل بوجها القحبه #كافره #فاجره #كافر #فاجر #كفر #فجور #مسلمه #مومنه #محجبه #زب #كس
27,"RT @moavia_official: اگر کوئی صحابہ اکرام کو کافر کہتا ہے تو کائنات میں اس سے بڑا کافر کوئی نہیں   
https://t.co/m1pdFE8i8P…مکمل بیان یوٹیو…"
28,"@MateenMana @SabeeKazmi786 بندے نے سوال پوچھا کہ کسی صحابی نے ایسا پہنا آپ کہہ دیں ہاں یا نہیں۔۔۔

بات یہاں وہاں قد تک لے گے۔۔۔

پاکستان ہی ایسے مولویوی کی جنت ہے جہاں مولویوی نے عوام کے سامنے ایک دوسرے کو کافر کے فتوے میں رکھا ہوتا ہے پسے پردا سارے ایک ہی ہوتے ہیں"
29,@Mobina_tarani کافر همه را به کیش خود پندارد! الحمدلله از دروغ بیزار هستیم.
30,"کشتار دسته جمعی هزاره ها,۱۸۹۰ تا ۱۹۰۰میلادی,هیئت حاکمه راس کشور،عبدالرحمان خان، فتوای مذهبی برخی مولوی‌های اهل سنت دیوبندی مبنی بر کفر شیعیان.بین ۴۰۰٬۰۰۰ تا ۵۰۰٬۰۰۰ خانوادهٔ هزاره. عبدالرحمن خان از رهبران مذهبی خواست که هزاره‌ها را کافر و خارج ازدین بخواند…
#StopHazaraGenocide"
31,"RT @hoseindehghan69: کافر آن نیست که ""خدای تو"" را نمی‌پرستد و ""آداب تو"" را ندارد، در هر شکل و لباسی که باشد.
کافر آن است که ""حق‌پوش"" است و…"
32,"RT @iAimalKhan_: میں گواہی دیتاہوں کہ مرزاغلام احمدقادیانی جھوٹامدّعی نبوّت کافر ہےاور کذاب ہے.
اسکےتمام ماننےوالےکافر ہیں اور دائرہ اسلام…"
33,"سأل شابٌ رجلاً صالحاً:
""إذا كان الدجال مكتوباً على جبينه (كافر) 
فلا أعتقد أن يتبعه أحد؟!
قال له: ""علبة السجائر"" مكتوبٌ عليها: (الدخان قاتل وسبب رئيسي لمرض السرطان)
ومع ذلك يدمن عليه الكثير من الناس!
العبرة بالبصيرة ﻻ بالبصر. https://t.co/JJTcelTSQl"
34,"@moavia_official بلکل سچ لیکن اپنا موقف کیو تبدیل کیا 
کافر کافر شیعہ کافر کا"
35,@AlMasryAlYoum ان شاء الله يا ستى متقطعيش ربنا يكرمك بحد كافر وخلاص حتى تكونى معاه دنيا واخرة
36,"@asimawan13 بھائی مسلمان وہ تھے جو کافر کے ساتھ ایک تلوار سے لڑتے تھے 
آج کے مسلمان کوش کیا پتا تلوار کا 
آج کا مسلمان شلوار سے جنگ لڑتا ہے 
مولوی ۔جج ۔جنرل"
37,"جالبه -۲
- کشورهای عربی با جمهوری اسلامی *دوست صمیمی* شده‌اند و شیعیان را کافر محسوب نمی‌کنند
- روسیه *سهمیه رایگان* دانشگاه‌هایش را برای آقازاده‌ها ۳ برابر کرده
- چین دیگه از اوهام اعراب برای *مالکیت جزایر ایرانی* طرفداری نمی‌کند

*در مجموع کل دنیا عاشق جمهوری اسلامی شده‌ است.*"
38,RT @QQQ9K: هالوقت لو تغرد شي مو عن رمضان يحسبونك كافر.
39,"RT @iAimalKhan_: میں گواہی دیتاہوں کہ مرزاغلام احمدقادیانی جھوٹامدّعی نبوّت کافر ہےاور کذاب ہے.
اسکےتمام ماننےوالےکافر ہیں اور دائرہ اسلام…"
40,@fidahussainpaki وہ کافر ہے لیکن ہمارے والے مسلمان ہیں اور با خوبی مسلمانوں والا کام انجام دے رہے ہیں
41,@kiinbcde لماذا تقولني مالم اقل !!! .. قلت عميل صهيوني وهذه حقيقة .. لم أقل أنه كافر .. إتق الله .. برا
