,tweet
0,""" واهجرهم هجرا جميلا "" 
    القران الكريم يعلمك 
ان لا تأخذ الصراخ بالصراخ 
      ولا الشتم بالشتم 
جمال الحياة في الإعراض 
  عن هذه الفئة من البشر 
جرب ان تنظر إلى الإساءة 
على أنها سلوك يمثل صاحبه 
وليست تقليلا من شخصيتك 
     عندها سوف تلاحظ 
ان جزءا كبيرا من ردة فعلك 
سيختلف"
1,ما كان هجرا ولا كبرا وليس أذى أستغفر الله  هل أقوى فأؤذيك  كانت ظروفا ثقالا لو علمت بها تبكي علي  كما أبكي  وأبكيك　　 ❧.
2,"RT @esraalbrahim122: عارف يعني ايه "" وَاهْجُرْهُمْ هَجْرًا جَمِيلًا ""

يعني في علاقات وفي ناس مينفعش معاهم القرب بأشكاله وأصنافه ، الهجر ال…"
3,﴿ وَاصبِر عَلىٰ ما يَقولونَ وَاهجُرهُم هَجرًا جَميلًا ﴾
4,أُهجر هجرًا جميلًا.
5,"RT @esraalbrahim122: عارف يعني ايه "" وَاهْجُرْهُمْ هَجْرًا جَمِيلًا ""

يعني في علاقات وفي ناس مينفعش معاهم القرب بأشكاله وأصنافه ، الهجر ال…"
6,"RT @2lllove: ""والله ما بدأتُ خصاماً ولا هجراً، أو هانت عِشرةٌ عليّ أبداً، لكني إن تأذَّيت اعتزَلت."""
7,"وَاصْبِرْ عَلَى مَا يَقُولُونَ وَاهْجُرْهُمْ هَجْرًا جَمِيلا"""
8,"RT @esraalbrahim122: عارف يعني ايه "" وَاهْجُرْهُمْ هَجْرًا جَمِيلًا ""

يعني في علاقات وفي ناس مينفعش معاهم القرب بأشكاله وأصنافه ، الهجر ال…"
9,"Surat No 73 : سورة المزمل - Ayat No 10

وَ اصۡبِرۡ عَلٰی مَا یَقُوۡلُوۡنَ وَ اہۡجُرۡہُمۡ ہَجۡرًا جَمِیۡلًا ﴿۱۰﴾"
10,"إذا صبرت إصبر بلا شكوى 
وإذا هجرت أهجر بلا أذى 
وإذا صفحت فاصفح بلا عتاب 

☝️ فالله عز وجل وصفها كلها بالجمال 
{ فاصبر صبرا جميلا}  
{ واهجرهم هجرا جميلا}  
{ فاصفح الصفح الجميل} 
جَمَّلَنِي الله وإياكم بالجمال ومكارم الأخلاق 🌹

#رمضان"
11,وَاصْبِرْ عَلَى مَا يَقُولُونَ وَاهْجُرْهُمْ هَجْرًا جَمِيلًا
12,"""واهجرهم هجراً جميلاً"""
13,"RT @fosh_13: مَا لِاعتذارك بعد هجركَ قيمةٌ
جَف الغديرُ وماتت الاشجّار
القلب أنت ملكتهُ.. وكسرتهُ
هَجرًا أتجبر كسرهُ الاعذار؟"
