,tweet
0,وہ وقت بہت قریب دیکھ رہا ھوں جب ھمارا مال اسباب سب کچھ کسی ہندو بنیے کا خود با خود ھو جائے گا اور ھم اس کے غلام کے طور پر اپنی ہی جگہ پر کام کریں گے اور وہ ھم سے جو چاھے برتاو رکھے گا یہ اسکی مرضی ھو گی کیونکہ ھمیں کیا ھم تو صرف اپنے لیے جیتے ھیں اپنا سوچتے ھیں غلام جو ھیں غلام۔
1,RT @ChParvezElahi: خیبرپختونخواہ سے پہلی سکھ خاتون امیدوار برائے مخصوص نشست سکھ جیت کور،معروف سیاسی شخصیت چودھری اللہ دتہ وڑائچ کی وفد کے ہ…
2,RT @MMAslamIqbal: سیاسی کارکن عام شہری ہوتاہے جس کے گھر میں مائیں، بہنیں، بیٹیاں موجود ہوتی ہیں یہ کیا بے غیرتی ہے کیا ہم نے لاکھوں قربانیا…
3,RT @MMAslamIqbal: سیاسی کارکن عام شہری ہوتاہے جس کے گھر میں مائیں، بہنیں، بیٹیاں موجود ہوتی ہیں یہ کیا بے غیرتی ہے کیا ہم نے لاکھوں قربانیا…
4,RT @MMAslamIqbal: سیاسی کارکن عام شہری ہوتاہے جس کے گھر میں مائیں، بہنیں، بیٹیاں موجود ہوتی ہیں یہ کیا بے غیرتی ہے کیا ہم نے لاکھوں قربانیا…
5,RT @MMAslamIqbal: سیاسی کارکن عام شہری ہوتاہے جس کے گھر میں مائیں، بہنیں، بیٹیاں موجود ہوتی ہیں یہ کیا بے غیرتی ہے کیا ہم نے لاکھوں قربانیا…
6,RT @ChParvezElahi: خیبرپختونخواہ سے پہلی سکھ خاتون امیدوار برائے مخصوص نشست سکھ جیت کور،معروف سیاسی شخصیت چودھری اللہ دتہ وڑائچ کی وفد کے ہ…
7,RT @ChParvezElahi: خیبرپختونخواہ سے پہلی سکھ خاتون امیدوار برائے مخصوص نشست سکھ جیت کور،معروف سیاسی شخصیت چودھری اللہ دتہ وڑائچ کی وفد کے ہ…
8,RT @ChParvezElahi: خیبرپختونخواہ سے پہلی سکھ خاتون امیدوار برائے مخصوص نشست سکھ جیت کور،معروف سیاسی شخصیت چودھری اللہ دتہ وڑائچ کی وفد کے ہ…
9,RT @ChParvezElahi: خیبرپختونخواہ سے پہلی سکھ خاتون امیدوار برائے مخصوص نشست سکھ جیت کور،معروف سیاسی شخصیت چودھری اللہ دتہ وڑائچ کی وفد کے ہ…
10,RT @MMAslamIqbal: سیاسی کارکن عام شہری ہوتاہے جس کے گھر میں مائیں، بہنیں، بیٹیاں موجود ہوتی ہیں یہ کیا بے غیرتی ہے کیا ہم نے لاکھوں قربانیا…
11,RT @ymt_waqas: بھارت میں( بھگوان ) اور پاکستان میں(کپتان )دونوں جھوٹے ہیں مگر یہ بات ادھر ہندو نہیں مانتے اور ادھر یوتھیے🤣🤣🤣
12,RT @MMAslamIqbal: سیاسی کارکن عام شہری ہوتاہے جس کے گھر میں مائیں، بہنیں، بیٹیاں موجود ہوتی ہیں یہ کیا بے غیرتی ہے کیا ہم نے لاکھوں قربانیا…
13,RT @ChParvezElahi: خیبرپختونخواہ سے پہلی سکھ خاتون امیدوار برائے مخصوص نشست سکھ جیت کور،معروف سیاسی شخصیت چودھری اللہ دتہ وڑائچ کی وفد کے ہ…
14,RT @MMAslamIqbal: سیاسی کارکن عام شہری ہوتاہے جس کے گھر میں مائیں، بہنیں، بیٹیاں موجود ہوتی ہیں یہ کیا بے غیرتی ہے کیا ہم نے لاکھوں قربانیا…
15,RT @ChParvezElahi: خیبرپختونخواہ سے پہلی سکھ خاتون امیدوار برائے مخصوص نشست سکھ جیت کور،معروف سیاسی شخصیت چودھری اللہ دتہ وڑائچ کی وفد کے ہ…
